sample_id,sentence_type,source_text,detected_entities,relation_context
S048,perk,Heal yourself when using your class ability.  This modifier is only available during Solstice.,,- No external relation context found. Use default sentence-type style.
S049,dialogue,Do you deserve it?,,- No external relation context found. Use default sentence-type style.
S050,dialogue,"""He is the closest thing I will ever have to a son.""",,- No external relation context found. Use default sentence-type style.
S051,dialogue,"""Under a sturdy enough helmet, no one can see how damaged you are."" —Reed-7, Exo Titan",,- No external relation context found. Use default sentence-type style.
S052,dialogue,"""I have foreseen the work that will bring this system together. I'll need your strength."" —Emperor Calus",,- No external relation context found. Use default sentence-type style.
S053,dialogue,"Do you believe in the Gaiaforms, the energies within planets?",,- No external relation context found. Use default sentence-type style.
S054,dialogue,"""Many regard the Hive as mere monsters. But they are so much more. Their minds are sharp, like their blades."" —Eris Morn",Eris Morn,- Eris Morn romantic_partner_of The Drifter (confidence: high)\n- The Drifter emotional_anchor_of Eris Morn (confidence: high)\n- Lodi cooperates_with Eris Morn (confidence: medium)
S055,dialogue,"At the edge of the universe, I stared into the infinite deep. It stared back, and was pleased. I would become the herald of its victory, and bear witness for all creation.",,- No external relation context found. Use default sentence-type style.
S056,dialogue,"A little bolder. A little more focus. You are almost ready… to cast a Shadow. —Calus, Emperor of the Cabal",,- No external relation context found. Use default sentence-type style.
S057,dialogue,"""We are what we survive. They will not be the Guardians."" —Lord Saladin",,- No external relation context found. Use default sentence-type style.
S058,dialogue,"""There is a place where we can remember who we are."" —Imogen Rife",,- No external relation context found. Use default sentence-type style.
S059,dialogue,"""There is an end to everything."" —Emissary of the Nine",,- No external relation context found. Use default sentence-type style.
S060,dialogue,"""Yours, until the last flame dies and all words have been spoken."" —Shin Malphur to you, as you journey forth into the unknown",,- No external relation context found. Use default sentence-type style.
S061,dialogue,"""I know you."" —Lord Felwinter",,- No external relation context found. Use default sentence-type style.
S062,dialogue,"""Some speculate that the radiolarian fluid is the last vestige of a biological life-form that became the Vex."" —Sister Faora, ""Theories on the Vex""",,- No external relation context found. Use default sentence-type style.
S063,dialogue,"""Have you ever stared into the green soulfire flame? There is terror, but also… something warm."" —Eris Morn",Eris Morn,- Eris Morn romantic_partner_of The Drifter (confidence: high)\n- The Drifter emotional_anchor_of Eris Morn (confidence: high)\n- Lodi cooperates_with Eris Morn (confidence: medium)
S064,dialogue,"""Osiris said that he started to pity the Red Legion, getting trapped in here for infinite eternities. I think they're getting exactly what they deserve."" —Sagira",,- No external relation context found. Use default sentence-type style.
S065,lore,"""I am lightning, energy unbound, but directed."" The Splicer felt the Arc energy crackling around him and joined with it.",,- No external relation context found. Use default sentence-type style.
S066,lore,"A TRESPASSER you are not welcome here HOW DID YOU FIND US? ""She sent me."" You are not your queen. A PUPPET defined by scars We have no need of you. WE HAVE OUR OWN PUPPETS L E T H E R S P E A K ""I came to discuss the future.""",,- No external relation context found. Use default sentence-type style.
S067,lore,"Sometimes it makes a guy feel better to make fun of someone way worse off than he is. He knows it's a mistake soon as he sets eyes on the giant robot face, though. Maybe somewhere else. He turns and goes, ignoring the dramatic monologue already kicking off behind him.",,- No external relation context found. Use default sentence-type style.
S068,lore,this will not reach you anything a knife writes would never but no more speaking that time is over Im sorry I see the waves I see the ship sinking the sky is filled with shadow I love you I love you Im alone what hurts me is you are too,,- No external relation context found. Use default sentence-type style.
S069,lore,"Someone else finds him there. He sees himself out, mouth stinging as he takes the stairs. That's it, then. There's nothing for him here. And he was a fool to think there was. Time to go.",,- No external relation context found. Use default sentence-type style.
S070,lore,"""Even in the dark, I still feel the spark of life within me."" His Gauntlet roared as he drew a wide circle in the air, and the rains began to fall.",,- No external relation context found. Use default sentence-type style.
S071,lore,"[[Neuron-Sheath key] [Run through, Time and time again] [In Ritual] [In Ceremony] [In Vital Sequence] [Image//History] [Vision//Grace] [Sight//Clairvoyance] [War divinely conjured] [Canvassed data bits] [Symphonic calculation] [Magnitude manufactured] [Order Incomplete]]",,- No external relation context found. Use default sentence-type style.
S072,lore,"""There is nothing here, and I have no fear of nothing."" The Splicer saw herself in a hundred places at once, then chose her favorite.",,- No external relation context found. Use default sentence-type style.
S073,lore,Few weapons have withstood the test of time longer than the trusty SUROS Regime. This is Golden Age tech brought to life by the fastidious engineers at SUROS. Its smart-matter frame is prized among Guardians for both efficiency and rarity. Some things never fall out of fashion.,,- No external relation context found. Use default sentence-type style.
S074,lore,we were young once YOU WENT MAD TRYING TO UNDERSTAND W E W E N T M A D T R Y I N G T O S P E A K This doesn't matter. when you are ready we will take it from you AND YOU WILL BE GLAD OF IT,,- No external relation context found. Use default sentence-type style.
S075,lore,"We treated the ship like its name, like one of the Guardians of old. But I swear to you that Sparrows have personalities, even spirits. I know that sounds crazy, but I believe that. AA's name was cold, and the Sparrow was cold. You couldn't warm it up. But boy it could fly.",,- No external relation context found. Use default sentence-type style.
S076,lore,"THE RED SHIPS ENTER THE AIR IS HEAVY. Now, when you move, you can actually FEEL the weight of the world. This weight is a gift. you finally have our attention",,- No external relation context found. Use default sentence-type style.
S077,lore,"""I am alight, but I will not be consumed."" The Splicer envisioned the fire in his hand, and he closed his fist around it.",,- No external relation context found. Use default sentence-type style.
S078,lore,"You sought us out. IN SOME SMALL WAY, YOU FOUND US. But discovery always has a price. With curiosity comes consequence. S H E I S N O T R E A D Y SEEK JUDGMENT. GROW.",,- No external relation context found. Use default sentence-type style.
S079,lore,"the edge of a system frays like string PATHS ARE CARVED BY MORE THAN RANGERS AND WAYFINDERS Out there in the remnants of old, the echo hums. W E H A D B E E N V I E W E D B E F O R E REMEMBER? DO YOU?",,- No external relation context found. Use default sentence-type style.
S080,lore,"Getting out in the woods could clear his head. Maybe he shouldn't go after all. Familiar energy readings. Not Darkness, not Light, but the in-between stuff. Sterile neutrinos. Makes him think of a time way back when: Moondust and him. And the arrival of the Pyramid fleet…",,- No external relation context found. Use default sentence-type style.
