sample_id,sentence_type,source_text,detected_entities,relation_context
S028,perk,"By aligning with the Festival Flame, you do more damage with Void power.",,- No explicit relation context found. Use neutral default tone for this sentence type.
S029,perk,Defeat combatants with precision final blows in Nightmare Hunts.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S030,perk,Adds a phosphene appearance to your transmat effects.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S031,perk,Final blows with this weapon fill the magazine of the equipped Energy weapon from reserves.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S032,perk,Greatly increases charge rate and guard resistance.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S033,perk,Faster ready and stow speed for Trace Rifles.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S034,perk,Dimensional Tithes,,- No explicit relation context found. Use neutral default tone for this sentence type.
S035,perk,Body shots landed with this weapon increase precision damage and aim assist for a short time. Body shots landed while the perk is active refresh the time.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S036,perk,Earn bonus Enhancement Prisms when completing ritual activities.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S037,perk,Final blows with this weapon grant Super energy. This weapon gains bonus damage once your Super expires.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S038,perk,Rapidly defeat combatants or Guardians with Auto Rifle final blows.,Guardian,- No explicit relation context found. Use neutral default tone for this sentence type.
S039,perk,Summon your Throwing Hammer back to you.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S040,perk,Overflows the magazine based on the number of rapid final blows before reloading. Improves reload.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S041,perk,+5 Class ▲,,- No explicit relation context found. Use neutral default tone for this sentence type.
S042,perk,Prosperity (Vanguard),Vanguard,- Caiatl allied_with Vanguard (confidence: high)\n- Savathun enemy_of Vanguard (confidence: high)\n- Dredgen Bael enemy_of Vanguard (confidence: high)\n- Mara Sov politically_cooperates_with Vanguard (confidence: medium)
S043,perk,Increased damage against Taken enemies.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S044,perk,Move faster while guarding with the Unbreakable shield. Damage blocked with Unbreakable is converted to grenade energy.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S045,perk,Healing grenades spawn a Restorative Turret. Healing allies occasionally spawns an Orb of Power.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S046,perk,Improved Drengr's Lash. Gain Woven Mail when suspending targets.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S047,perk,"Equip this tier 5 weapon ornament to change the appearance of Burden of Guilt. Once you get an ornament, it's unlocked for all characters on your account.",,- No explicit relation context found. Use neutral default tone for this sentence type.
S048,perk,Heal yourself when using your class ability.  This modifier is only available during Solstice.,,- No explicit relation context found. Use neutral default tone for this sentence type.
S049,dialogue,Do you deserve it?,,- No explicit relation context found. Use neutral default tone for this sentence type.
S050,dialogue,"""He is the closest thing I will ever have to a son.""",,- No explicit relation context found. Use neutral default tone for this sentence type.
S051,dialogue,"""Under a sturdy enough helmet, no one can see how damaged you are."" —Reed-7, Exo Titan",,- No explicit relation context found. Use neutral default tone for this sentence type.
S052,dialogue,"""I have foreseen the work that will bring this system together. I'll need your strength."" —Emperor Calus",Calus,- No explicit relation context found. Use neutral default tone for this sentence type.
S053,dialogue,"Do you believe in the Gaiaforms, the energies within planets?",,- No explicit relation context found. Use neutral default tone for this sentence type.
S054,dialogue,"""Many regard the Hive as mere monsters. But they are so much more. Their minds are sharp, like their blades."" —Eris Morn",Eris Morn|Hive,- Eris Morn romantic_partner_of The Drifter (confidence: high)\n- The Drifter emotional_anchor_of Eris Morn (confidence: high)\n- Lodi cooperates_with Eris Morn (confidence: medium)
S055,dialogue,"At the edge of the universe, I stared into the infinite deep. It stared back, and was pleased. I would become the herald of its victory, and bear witness for all creation.",The Witness,- No explicit relation context found. Use neutral default tone for this sentence type.
S056,dialogue,"A little bolder. A little more focus. You are almost ready… to cast a Shadow. —Calus, Emperor of the Cabal",Calus|Cabal,- No explicit relation context found. Use neutral default tone for this sentence type.
S057,dialogue,"""We are what we survive. They will not be the Guardians."" —Lord Saladin",Guardian,- No explicit relation context found. Use neutral default tone for this sentence type.
S058,dialogue,"""There is a place where we can remember who we are."" —Imogen Rife",,- No explicit relation context found. Use neutral default tone for this sentence type.
S059,dialogue,"""There is an end to everything."" —Emissary of the Nine",The Nine,- No explicit relation context found. Use neutral default tone for this sentence type.
S060,dialogue,"""Yours, until the last flame dies and all words have been spoken."" —Shin Malphur to you, as you journey forth into the unknown",,- No explicit relation context found. Use neutral default tone for this sentence type.
S061,dialogue,"""I know you."" —Lord Felwinter",,- No explicit relation context found. Use neutral default tone for this sentence type.
S062,dialogue,"""Some speculate that the radiolarian fluid is the last vestige of a biological life-form that became the Vex."" —Sister Faora, ""Theories on the Vex""",,- No explicit relation context found. Use neutral default tone for this sentence type.
S063,dialogue,"""Have you ever stared into the green soulfire flame? There is terror, but also… something warm."" —Eris Morn",Eris Morn,- Eris Morn romantic_partner_of The Drifter (confidence: high)\n- The Drifter emotional_anchor_of Eris Morn (confidence: high)\n- Lodi cooperates_with Eris Morn (confidence: medium)
S064,dialogue,"""Osiris said that he started to pity the Red Legion, getting trapped in here for infinite eternities. I think they're getting exactly what they deserve."" —Sagira",,- No explicit relation context found. Use neutral default tone for this sentence type.
S065,lore,"""I am lightning, energy unbound, but directed."" The Splicer felt the Arc energy crackling around him and joined with it.",,- No explicit relation context found. Use neutral default tone for this sentence type.
S066,lore,"A TRESPASSER you are not welcome here HOW DID YOU FIND US? ""She sent me."" You are not your queen. A PUPPET defined by scars We have no need of you. WE HAVE OUR OWN PUPPETS L E T H E R S P E A K ""I came to discuss the future.""",,- No explicit relation context found. Use neutral default tone for this sentence type.
S067,lore,"Sometimes it makes a guy feel better to make fun of someone way worse off than he is. He knows it's a mistake soon as he sets eyes on the giant robot face, though. Maybe somewhere else. He turns and goes, ignoring the dramatic monologue already kicking off behind him.",,- No explicit relation context found. Use neutral default tone for this sentence type.
S068,lore,this will not reach you anything a knife writes would never but no more speaking that time is over Im sorry I see the waves I see the ship sinking the sky is filled with shadow I love you I love you Im alone what hurts me is you are too,,- No explicit relation context found. Use neutral default tone for this sentence type.
S069,lore,"Someone else finds him there. He sees himself out, mouth stinging as he takes the stairs. That's it, then. There's nothing for him here. And he was a fool to think there was. Time to go.",,- No explicit relation context found. Use neutral default tone for this sentence type.
S070,lore,"""Even in the dark, I still feel the spark of life within me."" His Gauntlet roared as he drew a wide circle in the air, and the rains began to fall.",,- No explicit relation context found. Use neutral default tone for this sentence type.
S071,lore,"[[Neuron-Sheath key] [Run through, Time and time again] [In Ritual] [In Ceremony] [In Vital Sequence] [Image//History] [Vision//Grace] [Sight//Clairvoyance] [War divinely conjured] [Canvassed data bits] [Symphonic calculation] [Magnitude manufactured] [Order Incomplete]]",,- No explicit relation context found. Use neutral default tone for this sentence type.
S072,lore,"""There is nothing here, and I have no fear of nothing."" The Splicer saw herself in a hundred places at once, then chose her favorite.",,- No explicit relation context found. Use neutral default tone for this sentence type.
S073,lore,Few weapons have withstood the test of time longer than the trusty SUROS Regime. This is Golden Age tech brought to life by the fastidious engineers at SUROS. Its smart-matter frame is prized among Guardians for both efficiency and rarity. Some things never fall out of fashion.,Guardian,- No explicit relation context found. Use neutral default tone for this sentence type.
S074,lore,we were young once YOU WENT MAD TRYING TO UNDERSTAND W E W E N T M A D T R Y I N G T O S P E A K This doesn't matter. when you are ready we will take it from you AND YOU WILL BE GLAD OF IT,,- No explicit relation context found. Use neutral default tone for this sentence type.
S075,lore,"We treated the ship like its name, like one of the Guardians of old. But I swear to you that Sparrows have personalities, even spirits. I know that sounds crazy, but I believe that. AA's name was cold, and the Sparrow was cold. You couldn't warm it up. But boy it could fly.",Guardian,- No explicit relation context found. Use neutral default tone for this sentence type.
S076,lore,"THE RED SHIPS ENTER THE AIR IS HEAVY. Now, when you move, you can actually FEEL the weight of the world. This weight is a gift. you finally have our attention",,- No explicit relation context found. Use neutral default tone for this sentence type.
S077,lore,"""I am alight, but I will not be consumed."" The Splicer envisioned the fire in his hand, and he closed his fist around it.",,- No explicit relation context found. Use neutral default tone for this sentence type.
S078,lore,"You sought us out. IN SOME SMALL WAY, YOU FOUND US. But discovery always has a price. With curiosity comes consequence. S H E I S N O T R E A D Y SEEK JUDGMENT. GROW.",,- No explicit relation context found. Use neutral default tone for this sentence type.
S079,lore,"the edge of a system frays like string PATHS ARE CARVED BY MORE THAN RANGERS AND WAYFINDERS Out there in the remnants of old, the echo hums. W E H A D B E E N V I E W E D B E F O R E REMEMBER? DO YOU?",,- No explicit relation context found. Use neutral default tone for this sentence type.
S080,lore,"Getting out in the woods could clear his head. Maybe he shouldn't go after all. Familiar energy readings. Not Darkness, not Light, but the in-between stuff. Sterile neutrinos. Makes him think of a time way back when: Moondust and him. And the arrival of the Pyramid fleet…",,- No explicit relation context found. Use neutral default tone for this sentence type.
