id,tag,source,human_translation,context,speaker,listener,notes
slaythespire_0050,achievements:TEXT,"Have 3 or fewer cards in hand, draw, and discard pile combined.","손패, 뽑을 카드 더미, 버린 카드 더미를 합쳐서 카드가 3장 이하가 되도록 하십시오.",AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=1
slaythespire_0051,achievements:TEXT,Win a combat without playing an Attack.,공격 카드를 사용하지 않고 전투에서 승리하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=2
slaythespire_0052,achievements:TEXT,Exhaust 20 cards in a single combat.,한 번의 전투에서 카드를 20 장 소멸시키십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=3
slaythespire_0053,achievements:TEXT,Have 9 Energy during a single turn of combat.,전투 중 9의 에너지를 보유하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=4
slaythespire_0054,achievements:TEXT,Have 10 or more buffs during combat.,전투 중 10개 이상의 이로운 효과를 보유하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=5
slaythespire_0055,achievements:TEXT,Have 50 or more Strength during combat.,전투 중 50 이상의 힘을 보유하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=6
slaythespire_0056,achievements:TEXT,Have 99 or more Block during combat.,전투 중 99 이상의 방어도를 보유하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=7
slaythespire_0057,achievements:TEXT,Have 999 Block during combat.,전투 중 999의 방어도를 보유하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=8
slaythespire_0058,achievements:TEXT,Apply 99 or more Poison on a single enemy.,적 하나에게 99 이상의 중독을 부여하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=9
slaythespire_0059,achievements:TEXT,Defeat 3 enemies with Poison in a single combat.,한 번의 전투에서 적 3 마리를 중독으로 처치하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=10
slaythespire_0060,achievements:TEXT,Play 10 Shivs in a single turn.,한 턴 동안 10장 이상의 단도 카드를 사용하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=11
slaythespire_0061,achievements:TEXT,Play 25 cards in a single turn.,한 턴 동안 카드를 25장 사용하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=12
slaythespire_0062,achievements:TEXT,Defeat a boss on turn 1.,첫 턴 내에 보스를 처치하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=13
slaythespire_0063,achievements:TEXT,Defeat a boss without taking any damage.,피해를 한 번도 받지 않은 채로 보스를 처치하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=14
slaythespire_0064,achievements:TEXT,Defeated the Guardian.,수호자를 처치하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=15
slaythespire_0065,achievements:TEXT,Defeated Hexaghost.,육각령을 처치하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=16
slaythespire_0066,achievements:TEXT,Defeated the Slime Boss.,슬라임 지배자를 처치하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=17
slaythespire_0067,achievements:TEXT,Defeated the Bronze Automaton.,청동 자동인형을 처치하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=18
slaythespire_0068,achievements:TEXT,Defeated the Collector.,수집가를 처치하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=19
slaythespire_0069,achievements:TEXT,Defeated the Champ.,투사를 처치하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=20
slaythespire_0070,achievements:TEXT,Defeated the Awakened One.,깨어난 자를 처치하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=21
slaythespire_0071,achievements:TEXT,Defeated Donu & Deca.,도누 & 데카를 처치하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=22
slaythespire_0072,achievements:TEXT,Defeated the Time Eater.,시간포식자를 처치하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=23
slaythespire_0073,achievements:TEXT,Beat the game with the Ironclad.,아이언클래드로 게임을 클리어하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=24
slaythespire_0074,achievements:TEXT,Beat the game with the Silent.,사일런트로 게임을 클리어하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=25
slaythespire_0075,achievements:TEXT,Details for this achievement will be revealed once unlocked.,이 업적에 대한 세부사항은 해금한 후에 밝혀집니다.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=26
slaythespire_0076,achievements:TEXT,Beat the game with a single relic.,유물을 1개만 가진 채로 승리하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=27
slaythespire_0077,achievements:TEXT,Beat the game in under 20 minutes.,20분 이내에 게임을 클리어하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=28
slaythespire_0078,achievements:TEXT,Unlock Ascension mode.,승천 모드를 해금하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=29
slaythespire_0079,achievements:TEXT,Complete Ascension Level 10.,승천 10단계를 클리어하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=30
slaythespire_0080,achievements:TEXT,Beat the game with a 5 card deck or smaller.,덱의 카드가 5장 이하인 상태로 게임을 클리어하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=31
slaythespire_0081,achievements:TEXT,Finish Donu with a Feed.,포식을 사용해 도누를 처치하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=32
slaythespire_0082,achievements:TEXT,Beat the game with the Defect.,디펙트로 게임을 클리어하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=33
slaythespire_0083,achievements:TEXT,Beat the game with a deck containing no uncommons or rares.,일반 카드로만 구성된 덱으로 게임을 클리어하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=34
slaythespire_0084,achievements:TEXT,Have 25 or more Focus during combat.,전투 중 25 이상의 밀집 을 얻으십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=35
slaythespire_0085,achievements:TEXT,Channel 9 Plasma in a single turn.,한 턴에 플라즈마 를 9 번 영창하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=36
slaythespire_0086,achievements:TEXT,Play 10 or more cost 0 cards in a single turn.,한 턴에 비용이 0인 카드를 10번 이상 사용하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=37
slaythespire_0087,achievements:TEXT,Win a Daily Climb.,일일 도전을 완료하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=38
slaythespire_0088,achievements:TEXT,Defeat the Transient before it fades away.,과도자가 사라지기 전에 처치하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=39
slaythespire_0089,achievements:TEXT,Complete Ascension Level 20.,승천 20단계를 클리어하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=40
slaythespire_0090,achievements:TEXT,Complete the Ending with the Ironclad.,아이언클래드로 엔딩을 보십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=41
slaythespire_0091,achievements:TEXT,Complete the Ending with the Silent.,사일런트로 엔딩을 보십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=42
slaythespire_0092,achievements:TEXT,Complete the Ending with the Defect.,디펙트로 엔딩을 보십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=43
slaythespire_0093,achievements:TEXT,"Complete the Ending with the Ironclad, Silent, and Defect.","아이언클래드, 사일런트, 디펙트로 엔딩을 보십시오.",AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=44
slaythespire_0094,achievements:TEXT,Obtain all other Achievements.,다른 모든 업적을 달성하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=45
slaythespire_0095,achievements:TEXT,Beat the game with the Watcher.,와쳐로 게임을 클리어하십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=46
slaythespire_0096,achievements:TEXT,Complete the Ending with the Watcher.,와쳐로 엔딩을 보십시오.,AchievementGrid/TEXT,,,game=slaythespire; file=achievements_merged.json; index=47
slaythespire_0097,achievements:TEXT,Total Playtime: ,총 플레이 시간: ,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=0
slaythespire_0098,achievements:TEXT,Total Victories: #y,승리한 횟수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=1
slaythespire_0099,achievements:TEXT,Total Deaths: #y,죽은 횟수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=2
slaythespire_0100,achievements:TEXT,Total Floors Climbed: #y,지금까지 오른 층 수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=3
slaythespire_0101,achievements:TEXT,Total Bosses Slain: #y,처치한 보스 수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=4
slaythespire_0102,achievements:TEXT,Total Enemies Slain: #y,처치한 적 수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=5
slaythespire_0103,achievements:TEXT,Cards Discovered: #y,찾은 카드의 개수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=7
slaythespire_0104,achievements:TEXT,Cards Unlocked: #y,해금한 카드의 개수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=8
slaythespire_0105,achievements:TEXT,Relics Discovered: #y,발견한 유물의 개수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=9
slaythespire_0106,achievements:TEXT,Relics Unlocked: #y,해금한 유물의 개수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=10
slaythespire_0107,achievements:TEXT,Highest Floor: #y,최고 층수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=11
slaythespire_0108,achievements:TEXT,Highest Daily: #y,최고 일일 도전 점수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=12
slaythespire_0109,achievements:TEXT,Fastest Victory: ,승리한 최단 시간: ,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=13
slaythespire_0110,achievements:TEXT,Defeated the ,처치된 보스: ,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=14
slaythespire_0111,achievements:TEXT,: #gYes NL ,: #g예 NL ,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=15
slaythespire_0112,achievements:TEXT,: #rNo NL ,: #r아니오 NL ,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=16
slaythespire_0113,achievements:TEXT,Victories: #y,승리 횟수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=17
slaythespire_0114,achievements:TEXT,Deaths: #y,죽은 횟수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=18
slaythespire_0115,achievements:TEXT,Floors Climbed: #y,오른 층 수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=19
slaythespire_0116,achievements:TEXT,Bosses Slain: #y,처치한 보스 수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=20
slaythespire_0117,achievements:TEXT,Enemies Slain: #y,처치한 적 수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=21
slaythespire_0118,achievements:TEXT,Best Win Streak: #y,최고 연속 클리어 : #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=22
slaythespire_0119,achievements:TEXT,Highest Score: #y,최고 점수: #y,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=23
slaythespire_0120,achievements:TEXT,%02d:%02d:%02d,%02d:%02d:%02d,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=24
slaythespire_0121,achievements:TEXT,%02d:%02d,%02d:%02d,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=25
slaythespire_0122,achievements:TEXT,#y%02dh #y%02dm #y%02ds,#y%02dh #y%02dm #y%02ds,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=26
slaythespire_0123,achievements:TEXT,#y%02dm #y%02ds,#y%02dm #y%02ds,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=27
slaythespire_0124,achievements:TEXT,%01d:%02d:%02d,%01d:%02d:%02d,CharStat/TEXT,,,game=slaythespire; file=achievements_merged.json; index=28
slaythespire_0125,achievements:NAMES,Eternal One,불멸자,PS4Trophy/NAMES,,,game=slaythespire; file=achievements_merged.json; index=0
slaythespire_0126,achievements:TEXT,Obtain all other Trophies.,다른 모든 트로피들을 획득하십시오.,PS4Trophy/TEXT,,,game=slaythespire; file=achievements_merged.json; index=0
slaythespire_0127,achievements:NAMES,#yOverall #yStatistics,#y전체 #y통계,StatsScreen/NAMES,,,game=slaythespire; file=achievements_merged.json; index=0
slaythespire_0128,achievements:NAMES,#yAchievements,#y업적,StatsScreen/NAMES,,,game=slaythespire; file=achievements_merged.json; index=1
slaythespire_0129,achievements:NAMES,#rThe #rIronclad,#r아이언클래드,StatsScreen/NAMES,,,game=slaythespire; file=achievements_merged.json; index=2
slaythespire_0130,achievements:NAMES,#gThe #gSilent,#g사일런트,StatsScreen/NAMES,,,game=slaythespire; file=achievements_merged.json; index=3
slaythespire_0131,achievements:NAMES,#bThe #bDefect,#b디펙트,StatsScreen/NAMES,,,game=slaythespire; file=achievements_merged.json; index=4
slaythespire_0132,achievements:NAMES,#pThe #pWatcher,#p와쳐,StatsScreen/NAMES,,,game=slaythespire; file=achievements_merged.json; index=5
slaythespire_0133,achievements:TEXT,Return,돌아가기,StatsScreen/TEXT,,,game=slaythespire; file=achievements_merged.json; index=0
slaythespire_0134,blights:DESCRIPTION,"Whenever you defeat a Boss, obtain #b",보스를 처치할 때마다 #b,Accursed/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0135,blights:DESCRIPTION, random #yCurses., 장의 무작위 #y저주 카드를 얻습니다.,Accursed/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=1
slaythespire_0136,blights:NAME,Accursed,저주받음,Accursed/NAME,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0137,blights:DESCRIPTION,Lose #b,최대 체력을 #b,BlightedDurian/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0138,blights:DESCRIPTION,% of your Max HP.,% 잃습니다.,BlightedDurian/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=1
slaythespire_0139,blights:NAME,Post-Durian,부패한 두리안,BlightedDurian/NAME,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0140,blights:DESCRIPTION,Enemies deal #b,적이 주는 피해가 #b,DeadlyEnemies/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0141,blights:DESCRIPTION,% more damage.,% 증가합니다.,DeadlyEnemies/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=1
slaythespire_0142,blights:NAME,Spear of Blight,역병의 창,DeadlyEnemies/NAME,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0143,blights:DESCRIPTION,You can no longer increase your Max HP. All healing is halved.,더 이상 최대 체력이 증가하지 않습니다. 모든 회복의 효율이 절반으로 줄어듭니다.,FullBelly/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0144,blights:NAME,Muzzle,입마개,FullBelly/NAME,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0145,blights:DESCRIPTION,Enemies start combat with #b,전투 시작 시 적이 #b,GraspOfShadows/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0146,blights:DESCRIPTION, #yIntangible., #y불가침을 얻습니다.,GraspOfShadows/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=1
slaythespire_0147,blights:NAME,Hauntings,트라우마,GraspOfShadows/NAME,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0148,blights:DESCRIPTION,"Upon pickup, obtain #b",획득 시 #r긍지를 #b,GrotesqueTrophy/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0149,blights:DESCRIPTION, #rPrides., 장 얻습니다.,GrotesqueTrophy/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=1
slaythespire_0150,blights:DESCRIPTION,Your Pride is twisted...,당신의 긍지는 뒤틀려있습니다...,GrotesqueTrophy/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=2
slaythespire_0151,blights:NAME,Grotesque Trophy,기괴한 트로피,GrotesqueTrophy/NAME,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0152,blights:DESCRIPTION,Enemies start combat with #b,전투 시작 시 적이 #y인공물을 #b,MetallicRebirth/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0153,blights:DESCRIPTION," #yArtifact, #b"," , #y판금 #y갑옷을 #b",MetallicRebirth/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=1
slaythespire_0154,blights:DESCRIPTION," #yPlated #yArmor, and #b"," , #y재생을 #b",MetallicRebirth/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=2
slaythespire_0155,blights:DESCRIPTION, #yRegenerate., 얻습니다.,MetallicRebirth/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=3
slaythespire_0156,blights:NAME,Ancient Augmentation,고대의 증강,MetallicRebirth/NAME,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0157,blights:DESCRIPTION,Treasure rooms in future acts are replaced by Elites. Elites no longer drop relics.,다음 막부터 등장하는 보물 방이 엘리트로 대체됩니다. 더 이상 엘리트에게서 유물을 얻을 수 없습니다.,MimicInfestation/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0158,blights:NAME,Mimic Infestation,흉내쟁이 감염,MimicInfestation/NAME,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0159,blights:DESCRIPTION,Draw #b,매 턴 카드를 #b,Scatterbrain/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0160,blights:DESCRIPTION, less card a turn., 장 덜 뽑습니다.,Scatterbrain/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=1
slaythespire_0161,blights:NAME,Scatterbrain,주의 산만,Scatterbrain/NAME,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0162,blights:DESCRIPTION,You cannot play more than #b,매 턴 #b,TimeMaze/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0163,blights:DESCRIPTION, cards per turn., 장의 카드만 사용할 수 있습니다.,TimeMaze/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=1
slaythespire_0164,blights:DESCRIPTION,I can only play up to NL #r,카드 사용 제한에 도달했어: NL #r,TimeMaze/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=2
slaythespire_0165,blights:NAME,Time Maze,시간의 미로,TimeMaze/NAME,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0166,blights:DESCRIPTION,Enemies have #b,적들의 체력이 #b,ToughEnemies/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0167,blights:DESCRIPTION,% more HP.,% 증가합니다.,ToughEnemies/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=1
slaythespire_0168,blights:NAME,Shield of Blight,역병의 방패,ToughEnemies/NAME,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0169,blights:DESCRIPTION,"At the end of your turn, add #b",내 턴 종료 시 뽑을 카드 더미 맨 위에 #b,TwistingMind/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0170,blights:DESCRIPTION, random Status card to the top of your draw pile., 장의 무작위 상태이상 카드를 놓습니다.,TwistingMind/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=1
slaythespire_0171,blights:NAME,Twisting Mind,뒤틀린 정신,TwistingMind/NAME,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0172,blights:DESCRIPTION,Gain #b,매 턴 시작 시 [E] 를 #b,VoidEssence/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=0
slaythespire_0173,blights:DESCRIPTION, less [E] at the start of each turn., 적게 얻습니다.,VoidEssence/DESCRIPTION,,,game=slaythespire; file=blights_merged.json; index=1
slaythespire_0174,blights:NAME,Void Essence,공허의 본질,VoidEssence/NAME,,,game=slaythespire; file=blights_merged.json; index=0
