id,tag,source,human_translation,context,speaker,listener,notes
stardewvalley_0016,1_6_Strings:BearPaw_Description,Blackberries and Salmonberries are worth 3x the gold.,블랙베리와 새먼베리 가격이 3배가 됩니다.,content/BearPaw_Description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0017,1_6_Strings:BlessingOfEnergy,Blessing Of Energy,기력의 축복,content/BlessingOfEnergy,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0018,1_6_Strings:BlessingOfEnergy_description,You have infinite energy.,기력이 무한합니다.,content/BlessingOfEnergy_description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0019,1_6_Strings:BlessingOfFangs,Blessing Of Fangs,송곳니의 축복,content/BlessingOfFangs,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0020,1_6_Strings:BlessingOfFangs_description,+10% critical strike chance,치명타 확률 +10%,content/BlessingOfFangs_description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0021,1_6_Strings:BlessingOfFriendship,Blessing Of Friendship,우정의 축복,content/BlessingOfFriendship,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0022,1_6_Strings:BlessingOfFriendship_description,You gain extra friendship from speaking to people.,대화를 통해 얻는 우정이 증가합니다.,content/BlessingOfFriendship_description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0023,1_6_Strings:BlessingOfLuck,Blessing Of Luck,행운의 축복,content/BlessingOfLuck,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0024,1_6_Strings:BlessingOfSpeed,Blessing Of Speed,속도의 축복,content/BlessingOfSpeed,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0025,1_6_Strings:BlessingOfTheButterfly,Blessing Of The Butterfly,나비의 축복,content/BlessingOfTheButterfly,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0026,1_6_Strings:BlessingOfTheButterfly_description,A prismatic butterfly is waiting for you somewhere in the valley...,무지갯빛 나비가 당신을 밸리 어딘가에서 기다리고 있습니다...,content/BlessingOfTheButterfly_description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0027,1_6_Strings:BlessingOfWaters,Blessing Of Waters,물의 축복,content/BlessingOfWaters,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0028,1_6_Strings:BlessingOfWaters_description,The first three fish you hook today will be much easier. ({0} left),하루에 첫 물고기 3마리는 매우 쉽게 낚입니다. ({0} 남음),content/BlessingOfWaters_description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0029,1_6_Strings:Book_Category,Book,책,content/Book_Category,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0030,1_6_Strings:Bookseller,Bookseller,서적상,content/Bookseller,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0031,1_6_Strings:BooksellerInTown,The Bookseller is in town today.,서적상이 오늘 마을에 방문 중입니다.,content/BooksellerInTown,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0032,1_6_Strings:BroccoliFusilli_Description,A delightful pasta with broccoli and sun-dried tomatoes.,브로콜리와 선드라이 토마토로 만든 기분이 좋아지는 파스타.,content/BroccoliFusilli_Description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0033,1_6_Strings:BroccoliFusilli_Name,Broccoli Fusilli,브로콜리 푸실리,content/BroccoliFusilli_Name,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0034,1_6_Strings:ButterflyPowder_Goodbye,"Goodbye, {0}...","안녕, {0}...",content/ButterflyPowder_Goodbye,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0035,1_6_Strings:ButterflyPowder_Question,Are you sure? {0} will be permanently removed from your farm.,확실한가요? {0}이(가) 영원히 농장에서 사라집니다.,content/ButterflyPowder_Question,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0036,1_6_Strings:CactusMan_Closed,Cactus Man: They're feeling shy right now. Come back later.,선인장 아저씨: 지금은 다들 수줍어하네요. 나중에 다시 와보세요.,content/CactusMan_Closed,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0037,1_6_Strings:CactusMan_Collected,"Cactus Man: So, how's the little guy doing?","선인장 아저씨: 어디, 우리 작은 친구는 어떻게 지내나요?",content/CactusMan_Collected,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0038,1_6_Strings:CactusMan_Intro_1,"Cactus Man: Ah, yes... You look like someone who would appreciate what I'm offering.","선인장 아저씨: 아, 좋아요... 내가 줄 수 있는 것들의 진가를 알아볼만한 사람으로 보이네요.",content/CactusMan_Intro_1,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0039,1_6_Strings:CactusMan_Intro_2,"Cactus Man: Oh, yes... I've got the perfect match for you.","선인장 아저씨: 오, 좋아요... 당신에게 딱 맞는 게 있어요.",content/CactusMan_Intro_2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0040,1_6_Strings:CactusMan_Intro_3,"Cactus Man: That look in your eye... it says: ""I need a cactus, or I'm gonna burst"".","선인장 아저씨: 당신의 그 눈빛... 이런 느낌이네요: ""난 선인장이 필요해, 못 구하면 난 터져버리고 말 거야"".",content/CactusMan_Intro_3,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0041,1_6_Strings:CactusMan_No,"Cactus Man: I understand. They may be small, but accepting a cactus into your life is big responsibility. Come back when you're feeling ready.",선인장 아저씨: 이해해요. 크기는 작아도 선인장은 큰 책임이 필요한 법이니까요. 준비되었다 생각이 들면 다시 찾아오세요.,content/CactusMan_No,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0042,1_6_Strings:CactusMan_Question,Cactus Man: Are you ready to welcome a new cactus into your life?,선인장 아저씨: 당신의 삶에 새로운 선인장을 맞이할 준비가 되셨나요?,content/CactusMan_Question,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0043,1_6_Strings:CactusMan_Yes_1,"Cactus Man: Yes, he bears a striking resemblance to you, don't you agree?","선인장 아저씨: 아, 당신과 닮은 점이 있네요, 안 그런가요?",content/CactusMan_Yes_1,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0044,1_6_Strings:CactusMan_Yes_2,"Cactus Man: This one's a little shy, but I know you'll become friends in no time.","선인장 아저씨: 이 친구는 수줍음이 많지만, 금방 친구가 될 수 있을 거예요.",content/CactusMan_Yes_2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0045,1_6_Strings:CactusMan_Yes_3,"Cactus Man: Oh, yes... it's a match made in heaven.","선인장 아저씨: 아, 좋아요... 천생연분이네요.",content/CactusMan_Yes_3,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0046,1_6_Strings:CactusMan_Yes_4,Cactus Man: I won't say why... but this one is the perfect match for you.,선인장 아저씨: 이유는 말하지 않겠지만... 이 친구는 당신과 딱 맞네요.,content/CactusMan_Yes_4,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0047,1_6_Strings:CactusMan_Yes_5,"Cactus Man: This one's got a strange look, but it suits you.","선인장 아저씨: 조금 이상하게 생겼지만, 당신과 어울려요.",content/CactusMan_Yes_5,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0048,1_6_Strings:CactusMan_Yes_Full,Cactus Man: You don't have enough space... Come back after you've made some room.,선인장 아저씨: 공간이 충분하지 않으시군요... 자리가 생기면 다시 와주세요.,content/CactusMan_Yes_Full,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0049,1_6_Strings:CactusMan_Yes_Intro,Cactus Man: Great. Let's see...,선인장 아저씨: 좋아요. 어디 봅시다...,content/CactusMan_Yes_Intro,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0050,1_6_Strings:ChooseBobber,Bobber Style:,찌 스타일:,content/ChooseBobber,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0051,1_6_Strings:ChooseOne,Choose One:,하나를 선택하세요:,content/ChooseOne,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0052,1_6_Strings:Claim,Claim,수령,content/Claim,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0053,1_6_Strings:Cook_ChoseIngredient,"Chef: Ah, yes... the {0}. Excellent choice. Now... what kind of sauce will you have?","셰프: 아, 네... {0}. 탁월한 선택이죠. 그럼... 어떤 소스로 드릴까요?",content/Cook_ChoseIngredient,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0054,1_6_Strings:Cook_ChoseSauce,Chef: Very good. A healthy drizzle of {0} to round out the dish.,셰프: 아주 좋아요. {0}! 이걸로 이번 요리의 맛이 완성되었습니다.,content/Cook_ChoseSauce,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0055,1_6_Strings:Cook_DishNames_0_1,Earthy Mousse,대지의 무스,content/Cook_DishNames_0_1,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0056,1_6_Strings:Cook_DishNames_0_2,Sweet Bean Cake,달콤한 콩 케이크,content/Cook_DishNames_0_2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0057,1_6_Strings:Cook_DishNames_0_3,Skull Cave Casserole,해골 동굴 캐서롤,content/Cook_DishNames_0_3,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0058,1_6_Strings:Cook_DishNames_0_4,Spicy Tacos,매운 타코,content/Cook_DishNames_0_4,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0059,1_6_Strings:Cook_DishNames_1_0,Mountain Chili,큰산 칠리,content/Cook_DishNames_1_0,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0060,1_6_Strings:Cook_DishNames_1_2,Crystal Cake,크리스탈 케이크,content/Cook_DishNames_1_2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0061,1_6_Strings:Cook_DishNames_1_3,Cave Kebab,동굴 케밥,content/Cook_DishNames_1_3,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0062,1_6_Strings:Cook_DishNames_1_4,Hot Log,불타는 통나무,content/Cook_DishNames_1_4,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0063,1_6_Strings:Cook_DishNames_2_0,Sour Salad,시큼한 샐러드,content/Cook_DishNames_2_0,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0064,1_6_Strings:Cook_DishNames_2_1,Superfood Cake,슈퍼푸드 케이크,content/Cook_DishNames_2_1,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0065,1_6_Strings:Cook_DishNames_2_3,Warrior Smoothie,전사의 스무디,content/Cook_DishNames_2_3,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0066,1_6_Strings:Cook_DishNames_2_4,Rumpled Fruit Skin,구겨진 과일 껍질,content/Cook_DishNames_2_4,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0067,1_6_Strings:Cook_DishNames_3_0,Calico Pizza,과일 피자,content/Cook_DishNames_3_0,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0068,1_6_Strings:Cook_DishNames_3_1,Stuffed Mushrooms,속 채운 버섯,content/Cook_DishNames_3_1,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0069,1_6_Strings:Cook_DishNames_3_2,Elf Quesadilla,엘프 케사디야,content/Cook_DishNames_3_2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0070,1_6_Strings:Cook_DishNames_3_4,Nachos Of The Desert,사막의 나초,content/Cook_DishNames_3_4,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0071,1_6_Strings:Cook_DishNames_4_0,Cioppino,초피노,content/Cook_DishNames_4_0,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0072,1_6_Strings:Cook_DishNames_4_1,Rainforest Shrimp,우림 새우,content/Cook_DishNames_4_1,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0073,1_6_Strings:Cook_DishNames_4_2,Shrimp Donut,새우 도넛,content/Cook_DishNames_4_2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0074,1_6_Strings:Cook_DishNames_4_3,Smell Of The Sea,바다의 향기,content/Cook_DishNames_4_3,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0075,1_6_Strings:Cook_DishNames_4_4,Desert Gumbo,사막 검보,content/Cook_DishNames_4_4,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0076,1_6_Strings:Cook_Done,"Chef: Voila. I call it, '{0}'. Enjoy!",셰프: 짜잔~ 이 요리의 이름은 '{0}'입니다. 즐거운 식사 되시길!,content/Cook_Done,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0077,1_6_Strings:Cook_Ingredient0,Hearty Beans,든든한 콩 요리,content/Cook_Ingredient0,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0078,1_6_Strings:Cook_Ingredient1,Cave Loaf,동굴 로프,content/Cook_Ingredient1,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0079,1_6_Strings:Cook_Ingredient2,Rare Fruit,희귀한 과일,content/Cook_Ingredient2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0080,1_6_Strings:Cook_Ingredient3,Extremely Sharp Cheddar,극단적으로 샤프한 체다,content/Cook_Ingredient3,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0081,1_6_Strings:Cook_Ingredient4,Shrimp,새우,content/Cook_Ingredient4,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0082,1_6_Strings:Cook_Intro,"Chef: Why hello, there... hungry?",셰프: 오 거기 안녕하시오... 배고픈가요?,content/Cook_Intro,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0083,1_6_Strings:Cook_Intro_No,Chef: Pity. Come back when you're ready for something delicious.,셰프: 애석하군요. 맛을 즐길 준비가 되면 다시 오세요.,content/Cook_Intro_No,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0084,1_6_Strings:Cook_Intro_Yes,"Chef: Ooh, yes... I'm very pleased to hear that. *slurp*","셰프: 오우, 좋아... 듣고 싶던 얘기네요. *후루룩*",content/Cook_Intro_Yes,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0085,1_6_Strings:Cook_Intro_Yes2,Chef: I'd like to make you a very special dish. Something perfectly suited to your unique taste. May I?,셰프: 아주 특별한 요리를 만들어주고 싶군요. 당신의 미각에 맞춰서 말이죠. 해볼까요?,content/Cook_Intro_Yes2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0086,1_6_Strings:Cook_Intro_Yes3,Chef: Oohoo... *giggle*... very good. Now... what will you have?,셰프: 오호호호... *히히*... 아주 좋아요. 그럼... 뭘로 드릴까요?,content/Cook_Intro_Yes3,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0087,1_6_Strings:Cook_Sauce0,Rich Marinara,풍미 깊은 마리나라,content/Cook_Sauce0,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0088,1_6_Strings:Cook_Sauce1,Mushroom Creme,버섯 크림,content/Cook_Sauce1,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0089,1_6_Strings:Cook_Sauce2,Cherry Syrup,체리 시럽,content/Cook_Sauce2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0090,1_6_Strings:Cook_Sauce3,Pungent Garlic,톡 쏘는 마늘,content/Cook_Sauce3,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0091,1_6_Strings:Cook_Sauce4,Uncomfortably Hot Sauce,힘들 정도로 매운 소스,content/Cook_Sauce4,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0092,1_6_Strings:CritEnchantment,+{0} Crit. Chance,치명타 확률 +{0},content/CritEnchantment,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0093,1_6_Strings:CritPowerEnchantment,+{0} Crit. Power,치명타 위력 +{0},content/CritPowerEnchantment,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0094,1_6_Strings:CursedMannequinDemale_Name,Cursed Mannequin (F),저주받은 마네킹 (여),content/CursedMannequinDemale_Name,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0095,1_6_Strings:CursedMannequinMale_Name,Cursed Mannequin (M),저주받은 마네킹 (남),content/CursedMannequinMale_Name,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0096,1_6_Strings:CursedMannequin_Description,You can dress it up however you like. And pray that it doesn't come to life while you sleep...,원하는 대로 꾸밀 수 있습니다. 당신이 잠든 사이 살아 움직이지 않길 기도하세요...,content/CursedMannequin_Description,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0097,1_6_Strings:DF_Mine_CalicoStatue,Calico Statue,칼리코 조각상,content/DF_Mine_CalicoStatue,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0098,1_6_Strings:DF_Mine_CalicoStatue_Description_0,More Ghosts,유령이 더 많이 등장합니다,content/DF_Mine_CalicoStatue_Description_0,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0099,1_6_Strings:DF_Mine_CalicoStatue_Description_1,More Serpents,용이 더 많이 등장합니다,content/DF_Mine_CalicoStatue_Description_1,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0100,1_6_Strings:DF_Mine_CalicoStatue_Description_10,Speed Boost,속도가 증가합니다,content/DF_Mine_CalicoStatue_Description_10,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0101,1_6_Strings:DF_Mine_CalicoStatue_Description_11,Full refresh!,완전 회복!,content/DF_Mine_CalicoStatue_Description_11,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0102,1_6_Strings:DF_Mine_CalicoStatue_Description_12,50 Calico Eggs,칼리코 달걀 50개,content/DF_Mine_CalicoStatue_Description_12,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0103,1_6_Strings:DF_Mine_CalicoStatue_Description_13,No effect,효과 없음,content/DF_Mine_CalicoStatue_Description_13,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0104,1_6_Strings:DF_Mine_CalicoStatue_Description_14,Monsters do less damage,몬스터 데미지가 감소합니다,content/DF_Mine_CalicoStatue_Description_14,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0105,1_6_Strings:DF_Mine_CalicoStatue_Description_15,25 Calico Eggs,칼리코 달걀 25개,content/DF_Mine_CalicoStatue_Description_15,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0106,1_6_Strings:DF_Mine_CalicoStatue_Description_16,10 Calico Eggs,칼리코 달걀 10개,content/DF_Mine_CalicoStatue_Description_16,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0107,1_6_Strings:DF_Mine_CalicoStatue_Description_17,100 Calico Eggs!,칼리코 달걀 100개!,content/DF_Mine_CalicoStatue_Description_17,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0108,1_6_Strings:DF_Mine_CalicoStatue_Description_2,Skeletons are after you...,해골들이 당신을 쫓고 있습니다...,content/DF_Mine_CalicoStatue_Description_2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0109,1_6_Strings:DF_Mine_CalicoStatue_Description_3,More Bats,박쥐가 더 많이 등장합니다,content/DF_Mine_CalicoStatue_Description_3,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0110,1_6_Strings:DF_Mine_CalicoStatue_Description_4,Bugs become Assassin Bugs,벌레가 어쌔신 벌레가 됩니다,content/DF_Mine_CalicoStatue_Description_4,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0111,1_6_Strings:DF_Mine_CalicoStatue_Description_5,Lose more eggs when you're knocked out,기절하면 더 많은 달걀을 잃어버립니다,content/DF_Mine_CalicoStatue_Description_5,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0112,1_6_Strings:DF_Mine_CalicoStatue_Description_6,Food is half as effective,음식 효과를 절반만 받습니다,content/DF_Mine_CalicoStatue_Description_6,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0113,1_6_Strings:DF_Mine_CalicoStatue_Description_7,More monsters,몬스터가 더 많이 등장합니다,content/DF_Mine_CalicoStatue_Description_7,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0114,1_6_Strings:DF_Mine_CalicoStatue_Description_8,Monsters do more damage,몬스터 데미지가 증가합니다,content/DF_Mine_CalicoStatue_Description_8,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0115,1_6_Strings:DF_Mine_CalicoStatue_Description_9,Mummies have become angry,미라들이 분노했습니다,content/DF_Mine_CalicoStatue_Description_9,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0116,1_6_Strings:DF_Mine_CalicoStatue_MP_Message,"Calico Statue: ""{0}"" has been activated.","칼리코 조각상: ""{0}"" 활성화.",content/DF_Mine_CalicoStatue_MP_Message,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0117,1_6_Strings:DF_Mine_CalicoStatue_Name_0,Ghost Invasion,귀신 침략,content/DF_Mine_CalicoStatue_Name_0,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0118,1_6_Strings:DF_Mine_CalicoStatue_Name_1,Serpent Invasion,용 침략,content/DF_Mine_CalicoStatue_Name_1,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0119,1_6_Strings:DF_Mine_CalicoStatue_Name_10,Magical Shoes,마법 신발,content/DF_Mine_CalicoStatue_Name_10,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0120,1_6_Strings:DF_Mine_CalicoStatue_Name_11,Full Refresh,완전 회복,content/DF_Mine_CalicoStatue_Name_11,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0121,1_6_Strings:DF_Mine_CalicoStatue_Name_12,50 Egg Treasure,50 달걀 보물,content/DF_Mine_CalicoStatue_Name_12,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0122,1_6_Strings:DF_Mine_CalicoStatue_Name_13,No Effect,효과 없음,content/DF_Mine_CalicoStatue_Name_13,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0123,1_6_Strings:DF_Mine_CalicoStatue_Name_14,Tooth File,이빨 줄,content/DF_Mine_CalicoStatue_Name_14,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0124,1_6_Strings:DF_Mine_CalicoStatue_Name_15,25 Egg Treasure,25 달걀 보물,content/DF_Mine_CalicoStatue_Name_15,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0125,1_6_Strings:DF_Mine_CalicoStatue_Name_16,10 Egg Treasure,10 달걀 보물,content/DF_Mine_CalicoStatue_Name_16,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0126,1_6_Strings:DF_Mine_CalicoStatue_Name_17,100 Egg Treasure,100 달걀 보물,content/DF_Mine_CalicoStatue_Name_17,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0127,1_6_Strings:DF_Mine_CalicoStatue_Name_2,Skeleton Invasion,해골 침략,content/DF_Mine_CalicoStatue_Name_2,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0128,1_6_Strings:DF_Mine_CalicoStatue_Name_3,Bat Invasion,박쥐 침략,content/DF_Mine_CalicoStatue_Name_3,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0129,1_6_Strings:DF_Mine_CalicoStatue_Name_4,Assassin Bugs,어쌔신 벌레,content/DF_Mine_CalicoStatue_Name_4,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
stardewvalley_0130,1_6_Strings:DF_Mine_CalicoStatue_Name_5,Thin Shells,얇은 껍데기,content/DF_Mine_CalicoStatue_Name_5,,,game=stardewvalley; file=1_6_Strings_merged.json; index=0
