sample_id,source_text,translation
S064,"""Osiris said that he started to pity the Red Legion, getting trapped in here for infinite eternities. I think they're getting exactly what they deserve."" —Sagira","""오시리스는 여기 갇혀 무한한 영겁을 보내고 있는 Red Legion을 불쌍히 여기기 시작했다고 말했어. 난 그들이 마땅히 받아야 할 걸 정확히 받고 있다고 생각해."" —사기라"
S065,"""I am lightning, energy unbound, but directed."" The Splicer felt the Arc energy crackling around him and joined with it.","""나는 번개다, 속박되지 않은 energy, 하지만 directed."" 스플라이서는 자신을 둘러싼 Arc energy가 지직거리는 것을 느끼고 그것과 하나가 되었다."
S066,"A TRESPASSER you are not welcome here HOW DID YOU FIND US? ""She sent me."" You are not your queen. A PUPPET defined by scars We have no need of you. WE HAVE OUR OWN PUPPETS L E T H E R S P E A K ""I came to discuss the future.""","침입자여, 너는 여기 환영받지 못한다 어떻게 우리를 찾았지? ""그녀가 나를 보냈다."" 너는 네 여왕이 아니다. 흉터로 규정된 꼭두각시 우리는 네가 필요 없다. 우리에겐 우리만의 꼭두각시가 있다 그가 말하게 두자 ""나는 미래를 논의하러 왔다."""
S067,"Sometimes it makes a guy feel better to make fun of someone way worse off than he is. He knows it's a mistake soon as he sets eyes on the giant robot face, though. Maybe somewhere else. He turns and goes, ignoring the dramatic monologue already kicking off behind him.","가끔은 자기보다 훨씬 더 처참한 처지의 누군가를 놀려대는 게 기분을 좀 낫게 해주기도 한다. 하지만 거대한 로봇 얼굴을 보는 순간, 그건 실수라는 걸 바로 안다. 아마 다른 데서나. 그는 몸을 돌려 떠나고, 뒤에서 이미 시작되고 있는 극적인 독백은 무시한다."
S068,this will not reach you anything a knife writes would never but no more speaking that time is over Im sorry I see the waves I see the ship sinking the sky is filled with shadow I love you I love you Im alone what hurts me is you are too,이건 너에게 아무것도 닿지 않을 거야 칼이 쓰는 것은 결코 그렇지 않지만 이제 더는 말하지 마 그 시간은 끝났어 미안해 나는 파도를 봐 나는 배가 가라앉는 걸 봐 하늘은 그림자로 가득 차 있어 사랑해 사랑해 나는 혼자야 나를 아프게 하는 건 너도 그렇다는 거야
S069,"Someone else finds him there. He sees himself out, mouth stinging as he takes the stairs. That's it, then. There's nothing for him here. And he was a fool to think there was. Time to go.","누군가 다른 사람이 그를 거기서 발견한다. 그는 계단을 오르며 스스로 나간다. 입이 따갑다. 그럼, 그게 다다. 여기엔 그를 위한 건 아무것도 없다. 그리고 그런 게 있다고 생각한 그는 바보였다. 갈 시간이다."
S070,"""Even in the dark, I still feel the spark of life within me."" His Gauntlet roared as he drew a wide circle in the air, and the rains began to fall.","""어둠 속에서도, 나는 여전히 내 안의 생명의 불꽃을 느낀다."" 그의 건틀릿이 포효했고, 그가 허공에 넓은 원을 그리자 비가 내리기 시작했다."
S071,"[[Neuron-Sheath key] [Run through, Time and time again] [In Ritual] [In Ceremony] [In Vital Sequence] [Image//History] [Vision//Grace] [Sight//Clairvoyance] [War divinely conjured] [Canvassed data bits] [Symphonic calculation] [Magnitude manufactured] [Order Incomplete]]","[[뉴런-시스 키] [달려가라, 몇 번이고] [의식 속에서] [의례 속에서] [생명적 순서 속에서] [이미지//역사] [비전//은총] [시야//천리안] [신성하게 소환된 전쟁] [수집된 데이터 비트] [교향적 계산] [제조된 규모] [질서 미완성]]"
S072,"""There is nothing here, and I have no fear of nothing."" The Splicer saw herself in a hundred places at once, then chose her favorite.","""여기엔 아무것도 없어, 그리고 나는 아무것도 두렵지 않아."" 스플라이서는 자신을 한 번에 백 곳에서 본 뒤, 가장 마음에 드는 것을 골랐다."
S073,Few weapons have withstood the test of time longer than the trusty SUROS Regime. This is Golden Age tech brought to life by the fastidious engineers at SUROS. Its smart-matter frame is prized among Guardians for both efficiency and rarity. Some things never fall out of fashion.,믿음직한 SUROS Regime보다 더 오래 시간의 시험을 견뎌낸 무기는 거의 없다. 이것은 SUROS의 꼼꼼한 엔지니어들이 생명력을 불어넣은 Golden Age 기술이다. 그 smart-matter 프레임은 효율성과 희귀성 모두로 Guardians 사이에서 높이 평가받는다. 어떤 것들은 결코 유행에서 벗어나지 않는다.
S074,we were young once YOU WENT MAD TRYING TO UNDERSTAND W E W E N T M A D T R Y I N G T O S P E A K This doesn't matter. when you are ready we will take it from you AND YOU WILL BE GLAD OF IT,우린 한때 젊었어 네가 이해하려고 미쳐버렸지 우린 말하려고 미쳐버렸어 이건 중요하지 않아. 네가 준비되면 우리가 그것을 너에게서 가져갈 거야 그리고 너는 그걸 기뻐하게 될 거야
S075,"We treated the ship like its name, like one of the Guardians of old. But I swear to you that Sparrows have personalities, even spirits. I know that sounds crazy, but I believe that. AA's name was cold, and the Sparrow was cold. You couldn't warm it up. But boy it could fly.","우린 그 함선을 그 이름처럼, 옛 Guardians 중 하나처럼 대했어. 하지만 Sparrow에는 성격이, 심지어 영혼까지 있다고 맹세할 수 있어. 미친 소리처럼 들린다는 건 알아, 하지만 난 그걸 믿어. AA의 이름은 차가웠고, 그 Sparrow도 차가웠어. 그걸 따뜻하게 만들 수는 없었지. 하지만 정말 잘 날았어."
S076,"THE RED SHIPS ENTER THE AIR IS HEAVY. Now, when you move, you can actually FEEL the weight of the world. This weight is a gift. you finally have our attention","붉은 함선들이 들어오고, 공기는 무겁다. 이제, 네가 움직일 때, 실제로 세계의 무게를 느낄 수 있다. 이 무게는 선물이다. 너는 마침내 우리의 주의를 받았다"
S077,"""I am alight, but I will not be consumed."" The Splicer envisioned the fire in his hand, and he closed his fist around it.","""나는 타오르고 있지만, 삼켜지지는 않을 것이다."" 스플라이서는 손안의 불꽃을 떠올렸고, 그는 그것을 감싸 쥔 주먹을 닫았다."
S078,"You sought us out. IN SOME SMALL WAY, YOU FOUND US. But discovery always has a price. With curiosity comes consequence. S H E I S N O T R E A D Y SEEK JUDGMENT. GROW.","너는 우리를 찾아냈다. 어떤 작은 방식으로든, 너는 우리를 발견했다. 하지만 발견에는 언제나 대가가 따른다. 호기심에는 결과가 따른다. 그녀는 아직 준비되지 않았다. 심판을 찾아라. 성장하라."
S079,"the edge of a system frays like string PATHS ARE CARVED BY MORE THAN RANGERS AND WAYFINDERS Out there in the remnants of old, the echo hums. W E H A D B E E N V I E W E D B E F O R E REMEMBER? DO YOU?","시스템의 가장자리는 실처럼 해진다 PATHS는 RANGERS와 WAYFINDERS만이 아니라 더 많은 것들에 의해 새겨진다 저 너머, 옛것의 잔재 속에서, 메아리가 웅웅거린다. 우 리 는 이 전 에 보 여 졌 다 기 억 하 나? 너 는?"
S080,"Getting out in the woods could clear his head. Maybe he shouldn't go after all. Familiar energy readings. Not Darkness, not Light, but the in-between stuff. Sterile neutrinos. Makes him think of a time way back when: Moondust and him. And the arrival of the Pyramid fleet…","숲으로 나가면 그의 머리를 맑게 해줄지도 몰라. 어쩌면 그는 아예 가지 말았어야 했을지도 몰라. 익숙한 에너지 수치. Darkness도 아니고, Light도 아니고, 그 중간의 것들. sterile neutrinos. 그에게 아주 오래전의 한때를 떠올리게 해: Moondust와 그. 그리고 Pyramid 함대의 도착…"
