sample_id,source_text,translation
S035,Body shots landed with this weapon increase precision damage and aim assist for a short time. Body shots landed while the perk is active refresh the time.,이 무기로 적의 몸통에 명중시키면 짧은 시간 동안 정밀 피해와 조준 보정이 증가한다. 특성이 활성화된 동안 몸통에 명중시키면 지속 시간이 갱신된다.
S036,Earn bonus Enhancement Prisms when completing ritual activities.,의식 활동을 완료하면 추가 강화 프리즘을 획득한다.
S037,Final blows with this weapon grant Super energy. This weapon gains bonus damage once your Super expires.,이 무기로 최후의 일격을 가하면 초능력 에너지를 얻는다. 이 무기는 초능력이 종료되면 추가 피해를 얻는다.
S038,Rapidly defeat combatants or Guardians with Auto Rifle final blows.,자동 소총 최후의 일격으로 전투원이나 가디언을 빠르게 처치하라.
S039,Summon your Throwing Hammer back to you.,던지는 망치를 다시 소환해 너에게 돌아오게 하라.
S040,Overflows the magazine based on the number of rapid final blows before reloading. Improves reload.,재장전하기 전 빠른 최후 일격의 수에 따라 탄창을 넘쳐나게 한다. 재장전을 향상시킨다.
S041,+5 Class ▲,클래스 +5 ▲
S042,Prosperity (Vanguard),번영 (선봉대)
S043,Increased damage against Taken enemies.,타이큰 적에게 주는 피해 증가.
S044,Move faster while guarding with the Unbreakable shield. Damage blocked with Unbreakable is converted to grenade energy.,언브레이커블 방패로 방어하는 동안 더 빠르게 움직여라. 언브레이커블로 막은 피해는 수류탄 에너지로 전환된다.
S045,Healing grenades spawn a Restorative Turret. Healing allies occasionally spawns an Orb of Power.,치유 수류탄은 회복 포탑을 생성한다. 아군을 치유하면 가끔 힘의 구슬이 생성된다.
S046,Improved Drengr's Lash. Gain Woven Mail when suspending targets.,향상된 드렝그의 채찍. 대상을 공중에 매달 때 짜여진 갑옷을 얻는다.
S047,"Equip this tier 5 weapon ornament to change the appearance of Burden of Guilt. Once you get an ornament, it's unlocked for all characters on your account.","이 5단계 무기 장식을 장착하면 버든 오브 길트의 외형이 바뀐다. 장식을 한 번 얻으면, 계정의 모든 캐릭터에서 해금된다."
S048,Heal yourself when using your class ability.  This modifier is only available during Solstice.,직업 능력을 사용할 때 자신을 치유하라.  이 수정자는 솔스티스 동안에만 사용할 수 있다.
S049,Do you deserve it?,그걸 받을 자격이 있나?
S050,"""He is the closest thing I will ever have to a son.""",그는 내가 평생 아들로 삼을 수 있는 가장 가까운 존재다.
S051,"""Under a sturdy enough helmet, no one can see how damaged you are."" —Reed-7, Exo Titan","튼튼한 헬멧 아래에서는, 아무도 네가 얼마나 망가졌는지 볼 수 없지. —리드-7, 엑소 타이탄"
S052,"""I have foreseen the work that will bring this system together. I'll need your strength."" —Emperor Calus",이 체계를 하나로 묶어 줄 일을 나는 미리 보았다. 네 힘이 필요하다. —칼루스 황제
S053,"Do you believe in the Gaiaforms, the energies within planets?","가이아폼, 즉 행성들 안에 깃든 에너지를 믿나요?"
S054,"""Many regard the Hive as mere monsters. But they are so much more. Their minds are sharp, like their blades."" —Eris Morn",많은 이들이 하이브를 그저 괴물로 여긴다. 하지만 그들은 훨씬 더 그 이상이다. 그들의 정신은 그들의 칼날처럼 날카롭다. —에리스 모른
S055,"At the edge of the universe, I stared into the infinite deep. It stared back, and was pleased. I would become the herald of its victory, and bear witness for all creation.","우주의 끝에서, 나는 무한한 심연을 응시했다. 그것도 나를 응시했고, 기뻐했다. 나는 그 승리의 전령이 되어, 모든 창조물의 증인이 될 것이다."
S056,"A little bolder. A little more focus. You are almost ready… to cast a Shadow. —Calus, Emperor of the Cabal","조금 더 대담하게. 조금 더 집중해라. 너는 거의 준비되었다… 그림자를 드리울 준비가. —칼루스, 카발의 황제"
S057,"""We are what we survive. They will not be the Guardians."" —Lord Saladin",우리는 살아남은 것이 곧 우리다. 그들은 수호자가 되지 못할 것이다. —로드 살라딘
S058,"""There is a place where we can remember who we are."" —Imogen Rife",우리가 누구인지 기억할 수 있는 곳이 있다. —이모젠 라이프
S059,"""There is an end to everything."" —Emissary of the Nine",모든 것에는 끝이 있다. —아홉의 사절
S060,"""Yours, until the last flame dies and all words have been spoken."" —Shin Malphur to you, as you journey forth into the unknown","마지막 불꽃이 꺼지고 모든 말이 다해질 때까지, 너의 것이다. —신 말퍼가 너에게, 네가 미지로 나아갈 때"
S061,"""I know you."" —Lord Felwinter","""너를 알고 있다."" —펠윈터 경"
S062,"""Some speculate that the radiolarian fluid is the last vestige of a biological life-form that became the Vex."" —Sister Faora, ""Theories on the Vex""","일부는 라디오라리아 유체가 벡스가 된 생물학적 생명체의 마지막 흔적이라고 추측한다. —파오라 수녀, 「벡스에 대한 이론」"
S063,"""Have you ever stared into the green soulfire flame? There is terror, but also… something warm."" —Eris Morn","초록 영혼불꽃의 불길을 바라본 적이 있나요? 그 안에는 공포가 있지만, 또한… 무언가 따뜻한 것이 있습니다. —에리스 모른"
S064,"""Osiris said that he started to pity the Red Legion, getting trapped in here for infinite eternities. I think they're getting exactly what they deserve."" —Sagira",오시리스는 자신이 붉은 군단을 불쌍히 여기기 시작했다고 말했다. 여기 갇혀 무한한 영겁을 보내고 있으니 말이야. 난 그들이 마땅히 받아야 할 것을 정확히 받고 있다고 생각해. —사기라
S065,"""I am lightning, energy unbound, but directed."" The Splicer felt the Arc energy crackling around him and joined with it.","“나는 번개다, 속박되지 않은 에너지, 그러나 방향이 정해진.” 스플라이서는 자신을 둘러싼 아크 에너지가 지직거리는 것을 느끼고 그것과 하나가 되었다."
S066,"A TRESPASSER you are not welcome here HOW DID YOU FIND US? ""She sent me."" You are not your queen. A PUPPET defined by scars We have no need of you. WE HAVE OUR OWN PUPPETS L E T H E R S P E A K ""I came to discuss the future.""","침입자여, 너는 여기 환영받지 못한다 어떻게 우리를 찾았지? ""그녀가 나를 보냈다."" 너는 네 여왕이 아니다 흉터로 규정된 꼭두각시 너는 필요 없다. 우리는 우리만의 꼭두각시를 가지고 있다 그가 말하게 하라 ""나는 미래를 논의하러 왔다."""
S067,"Sometimes it makes a guy feel better to make fun of someone way worse off than he is. He knows it's a mistake soon as he sets eyes on the giant robot face, though. Maybe somewhere else. He turns and goes, ignoring the dramatic monologue already kicking off behind him.","가끔은 자기보다 훨씬 더 처참한 처지에 있는 사람을 놀려대는 게 기분을 좀 나아지게 해주기도 한다. 하지만 거대한 로봇 얼굴을 보는 순간, 그건 실수라는 걸 바로 안다. 아마 다른 곳에서나. 그는 몸을 돌려 떠나고, 뒤에서 이미 시작되고 있는 극적인 독백은 무시한다."
S068,this will not reach you anything a knife writes would never but no more speaking that time is over Im sorry I see the waves I see the ship sinking the sky is filled with shadow I love you I love you Im alone what hurts me is you are too,이것은 너에게 아무것도 닿지 않을 것이다 칼이 쓰는 것은 결코 그렇지 하지만 더는 말하지 마라 그 시간은 끝났다 미안하다 나는 파도를 본다 나는 배가 가라앉는 것을 본다 하늘은 그림자로 가득하다 나는 너를 사랑한다 나는 너를 사랑한다 나는 혼자다 나를 아프게 하는 것은 너도 그렇다는 것이다
S069,"Someone else finds him there. He sees himself out, mouth stinging as he takes the stairs. That's it, then. There's nothing for him here. And he was a fool to think there was. Time to go.","누군가가 그를 거기서 발견한다. 그는 스스로 나가며, 계단을 오르는 동안 입안이 얼얼하다. 그럼, 그게 전부다. 여기엔 그를 위한 아무것도 없다. 그리고 거기 무언가가 있다고 생각한 건 어리석었다. 갈 시간이다."
S070,"""Even in the dark, I still feel the spark of life within me."" His Gauntlet roared as he drew a wide circle in the air, and the rains began to fall.","어둠 속에서도, 나는 여전히 내 안의 생명의 불꽃을 느낀다. 그의 건틀릿이 포효했고, 그가 공중에 넓은 원을 그리자 비가 내리기 시작했다."
S071,"[[Neuron-Sheath key] [Run through, Time and time again] [In Ritual] [In Ceremony] [In Vital Sequence] [Image//History] [Vision//Grace] [Sight//Clairvoyance] [War divinely conjured] [Canvassed data bits] [Symphonic calculation] [Magnitude manufactured] [Order Incomplete]]","[[뉴런-시스 키] [달려가라, 몇 번이고] [의식 속에서] [의례 속에서] [생명적 순서 속에서] [이미지//역사] [비전//은총] [시야//천리안] [신성하게 불러낸 전쟁] [수집된 데이터 비트들] [교향적 계산] [만들어진 규모] [질서 미완성]]"
S072,"""There is nothing here, and I have no fear of nothing."" The Splicer saw herself in a hundred places at once, then chose her favorite.","""여기엔 아무것도 없어, 그리고 나는 아무것도 두렵지 않아."" 스플라이서는 자신을 백 곳에서 동시에 보았고, 그다음 가장 마음에 드는 것을 골랐다."
S073,Few weapons have withstood the test of time longer than the trusty SUROS Regime. This is Golden Age tech brought to life by the fastidious engineers at SUROS. Its smart-matter frame is prized among Guardians for both efficiency and rarity. Some things never fall out of fashion.,믿음직한 수로스 체제만큼 오랜 세월의 시험을 견뎌낸 무기는 거의 없다. 이것은 수로스의 꼼꼼한 기술자들이 생명을 불어넣은 황금기 기술이다. 그 스마트 물질 골격은 효율성과 희귀성 모두로 인해 수호자들 사이에서 귀하게 여겨진다. 어떤 것들은 결코 유행에서 벗어나지 않는다.
S074,we were young once YOU WENT MAD TRYING TO UNDERSTAND W E W E N T M A D T R Y I N G T O S P E A K This doesn't matter. when you are ready we will take it from you AND YOU WILL BE GLAD OF IT,우리는 한때 젊었지 너는 이해하려 애쓰다 미쳐버렸어 우 리 는 이 해 하 려 애 쓰 다 미 쳐 버 렸 어 말하려 애쓰다 미쳐버렸어 이건 중요하지 않다. 네가 준비되면 우리가 그것을 너에게서 가져가겠다 그리고 너는 그것을 기뻐하게 될 것이다
S075,"We treated the ship like its name, like one of the Guardians of old. But I swear to you that Sparrows have personalities, even spirits. I know that sounds crazy, but I believe that. AA's name was cold, and the Sparrow was cold. You couldn't warm it up. But boy it could fly.","우린 그 배를 그 이름처럼, 옛 수호자들 중 하나처럼 대했어. 하지만 스패로우에는 성격이, 심지어 영혼까지도 있다고 맹세할 수 있어. 그 말이 미친 소리처럼 들린다는 건 알아, 하지만 난 그렇게 믿어. 에이 에이의 이름은 차가웠고, 스패로우도 차가웠어. 그걸 따뜻하게 만들 수는 없었지. 하지만 정말로 잘 날았어."
S076,"THE RED SHIPS ENTER THE AIR IS HEAVY. Now, when you move, you can actually FEEL the weight of the world. This weight is a gift. you finally have our attention","붉은 함선들이 들어오고 공기는 무겁다. 이제 네가 움직일 때, 실제로 세계의 무게를 느낄 수 있다. 이 무게는 선물이다. 마침내 네가 우리의 주의를 끌었다"
S077,"""I am alight, but I will not be consumed."" The Splicer envisioned the fire in his hand, and he closed his fist around it.","“나는 타오르고 있지만, 삼켜지지는 않겠다.” 스플라이서는 손안의 불꽃을 떠올렸고, 그것을 손아귀에 쥐었다."
S078,"You sought us out. IN SOME SMALL WAY, YOU FOUND US. But discovery always has a price. With curiosity comes consequence. S H E I S N O T R E A D Y SEEK JUDGMENT. GROW.","네가 우리를 찾아냈다. 아주 작은 방식으로, 네가 우리를 발견한 것이다. 하지만 발견에는 언제나 대가가 따른다. 호기심에는 결과가 따른다. 그녀는 아직 준비되지 않았다 심판을 찾아라. 성장하라."
S079,"the edge of a system frays like string PATHS ARE CARVED BY MORE THAN RANGERS AND WAYFINDERS Out there in the remnants of old, the echo hums. W E H A D B E E N V I E W E D B E F O R E REMEMBER? DO YOU?",시스템의 끝자락이 실처럼 해어진다 길은 레인저와 길찾는 자들만으로 새겨지는 것이 아니다 저 오래된 잔해 너머에서 메아리가 웅웅거린다 우리는 전에 목격된 적이 있었다 기억하나? 너는?
S080,"Getting out in the woods could clear his head. Maybe he shouldn't go after all. Familiar energy readings. Not Darkness, not Light, but the in-between stuff. Sterile neutrinos. Makes him think of a time way back when: Moondust and him. And the arrival of the Pyramid fleet…","숲으로 나가면 그의 머리가 맑아질지도 몰랐다. 어쩌면 그는 아예 가지 말았어야 했는지도 모른다. 익숙한 에너지 판독값. 어둠도 아니고 빛도 아니지만, 그 중간의 것들. 무균 중성미자. 그에게 아주 먼 옛날의 한때를 떠올리게 한다: 문더스트와 그. 그리고 피라미드 함대의 도착…"
