sample_id,source_text,translation
S064,"""Osiris said that he started to pity the Red Legion, getting trapped in here for infinite eternities. I think they're getting exactly what they deserve."" —Sagira","""오시리스는 레드 군단이 여기 갇혀 무한한 영겁을 보내는 걸 보며 연민을 느끼기 시작했다고 했어. 난 그들이 마땅히 받아야 할 걸 정확히 받고 있다고 생각해."" —사기라"
S065,"""I am lightning, energy unbound, but directed."" The Splicer felt the Arc energy crackling around him and joined with it.","""나는 번개다. 얽매이지 않은 에너지, 그러나 방향을 가진."" 스플라이서는 자신을 감도는 아크 에너지의 파열음을 느끼며 그것과 하나가 되었다."
S066,"A TRESPASSER you are not welcome here HOW DID YOU FIND US? ""She sent me."" You are not your queen. A PUPPET defined by scars We have no need of you. WE HAVE OUR OWN PUPPETS L E T H E R S P E A K ""I came to discuss the future.""","침입자여, 여긴 네가 있을 곳이 아니다. 어떻게 우리를 찾았지? ""그녀가 날 보냈다."" 너는 네 여왕이 아니다. 흉터로 규정된 꼭두각시. 우린 네가 필요 없다. 우리에겐 우리만의 꼭두각시가 있다. 그녀가 말하게 하라. ""미래를 논의하러 왔다."""
S067,"Sometimes it makes a guy feel better to make fun of someone way worse off than he is. He knows it's a mistake soon as he sets eyes on the giant robot face, though. Maybe somewhere else. He turns and goes, ignoring the dramatic monologue already kicking off behind him.","가끔은 자기보다 훨씬 처한 사람이를 놀려야 마음이 좀 나아지는 법이다. 하지만 거대한 로봇 얼굴을 보는 순간, 그건 실수였다는 걸 바로 안다. 다른 데서나 하지. 그는 몸을 돌려 떠나고, 뒤에서 이미 시작된 장황한 독백은 무시한다."
S068,this will not reach you anything a knife writes would never but no more speaking that time is over Im sorry I see the waves I see the ship sinking the sky is filled with shadow I love you I love you Im alone what hurts me is you are too,이건 너에게 아무것도 닿지 않을 거야 칼이 쓴 것은 결코 아니지만 더는 말하지 마 그 시간은 끝났어 미안해 파도가 보여 배가 가라앉는 게 보여 하늘은 그림자로 가득해 사랑해 사랑해 나는 혼자야 나를 아프게 하는 건 너도 그렇다는 거야
S069,"Someone else finds him there. He sees himself out, mouth stinging as he takes the stairs. That's it, then. There's nothing for him here. And he was a fool to think there was. Time to go.",누군가 그를 그곳에서 발견한다. 그는 스스로 물러나며 계단을 오른다. 입안이 얼얼하다. 그걸로 끝이다. 이제 그에게 이곳엔 아무것도 없다. 애초에 있을 거라 생각한 게 어리석었다. 갈 시간이다.
S070,"""Even in the dark, I still feel the spark of life within me."" His Gauntlet roared as he drew a wide circle in the air, and the rains began to fall.","""어둠 속에서도, 내 안의 생명의 불꽃은 여전히 느껴진다."" 그가 허공에 크게 원을 그리자 그의 건틀릿이 포효했고, 비가 내리기 시작했다."
S071,"[[Neuron-Sheath key] [Run through, Time and time again] [In Ritual] [In Ceremony] [In Vital Sequence] [Image//History] [Vision//Grace] [Sight//Clairvoyance] [War divinely conjured] [Canvassed data bits] [Symphonic calculation] [Magnitude manufactured] [Order Incomplete]]",[[뉴런-외피 키] [거듭 달리기] [의식 속] [의례 속] [생명 순서 속] [이미지//역사] [비전//은총] [시야//천리안] [신성히 소환된 전쟁] [수집된 데이터 비트] [교향적 계산] [조작된 규모] [미완의 질서]]
S072,"""There is nothing here, and I have no fear of nothing."" The Splicer saw herself in a hundred places at once, then chose her favorite.","""여긴 아무것도 없어. 그리고 난 아무것도 두렵지 않아."" 스플라이서는 자신을 백 곳에서 동시에 보았다가, 가장 마음에 드는 곳을 골랐다."
S073,Few weapons have withstood the test of time longer than the trusty SUROS Regime. This is Golden Age tech brought to life by the fastidious engineers at SUROS. Its smart-matter frame is prized among Guardians for both efficiency and rarity. Some things never fall out of fashion.,믿음직한 SUROS Regime만큼 오랜 세월을 견뎌 온 무기는 드물다. 이는 SUROS의 꼼꼼한 엔지니어들이 되살려 낸 황금기 기술이다. 그 스마트 물질 프레임은 효율성과 희소성 모두로 수호자들 사이에서 귀하게 여겨진다. 어떤 것은 결코 유행에서 벗어나지 않는다.
S074,we were young once YOU WENT MAD TRYING TO UNDERSTAND W E W E N T M A D T R Y I N G T O S P E A K This doesn't matter. when you are ready we will take it from you AND YOU WILL BE GLAD OF IT,우린 한때 젊었지 네가 미쳐버렸어 이해하려 애쓰다 우린 미쳐버렸어 말하려 애쓰다 이건 중요하지 않다. 준비되면 우리가 가져가겠다 그러면 넌 기뻐하게 될 거다
S075,"We treated the ship like its name, like one of the Guardians of old. But I swear to you that Sparrows have personalities, even spirits. I know that sounds crazy, but I believe that. AA's name was cold, and the Sparrow was cold. You couldn't warm it up. But boy it could fly.","우린 그 배를 이름처럼, 옛 수호자들 중 하나처럼 대했어. 하지만 스패로우에도 성격이 있고, 심지어 영혼도 있다고 맹세할 수 있어. 미친 소리처럼 들리겠지만, 난 그렇게 믿어. AA의 이름은 차가웠고, 스패로우도 차가웠지. 아무리 해도 따뜻해지지 않았어. 그래도 정말 잘 날았어."
S076,"THE RED SHIPS ENTER THE AIR IS HEAVY. Now, when you move, you can actually FEEL the weight of the world. This weight is a gift. you finally have our attention","붉은 배들이 들어오고, 공기는 무겁다. 이제 움직일 때, 세상의 무게를 실제로 느낄 수 있다. 이 무게는 축복이다. 마침내 네가 우리의 주목을 받았다"
S077,"""I am alight, but I will not be consumed."" The Splicer envisioned the fire in his hand, and he closed his fist around it.","""나는 타오르고 있으나, 삼켜지지 않으리라."" 스플라이서는 손안의 불꽃을 떠올렸고, 그것을 움켜쥐었다."
S078,"You sought us out. IN SOME SMALL WAY, YOU FOUND US. But discovery always has a price. With curiosity comes consequence. S H E I S N O T R E A D Y SEEK JUDGMENT. GROW.","당신이 우리를 찾아냈다. 작은 방식으로나마, 너는 우리를 발견했다. 그러나 발견에는 늘 대가가 따른다. 호기심에는 결과가 따른다. 그녀는 아직 준비되지 않았다. 심판을 구하라. 성장하라."
S079,"the edge of a system frays like string PATHS ARE CARVED BY MORE THAN RANGERS AND WAYFINDERS Out there in the remnants of old, the echo hums. W E H A D B E E N V I E W E D B E F O R E REMEMBER? DO YOU?",시스템의 끝자락은 실처럼 해진다 길은 레인저와 안내자만이 아닌 더 많은 이들에 의해 새겨진다 오래된 잔재 속 저 너머에서 메아리가 웅웅거린다 우린 전에 보였었다 기억하나? 너는?
S080,"Getting out in the woods could clear his head. Maybe he shouldn't go after all. Familiar energy readings. Not Darkness, not Light, but the in-between stuff. Sterile neutrinos. Makes him think of a time way back when: Moondust and him. And the arrival of the Pyramid fleet…","숲으로 나가면 머리가 맑아질지도 모른다. 어쩌면 아예 가지 않는 편이 나을지도. 익숙한 에너지 수치. 어둠도, 빛도 아닌, 그 사이의 것. 무균 중성미자. 아주 오래전의 한때를 떠올리게 한다. 문더스트와 그, 그리고 피라미드 함대의 도착…"
