sample_id,source_text,translation
S035,Body shots landed with this weapon increase precision damage and aim assist for a short time. Body shots landed while the perk is active refresh the time.,이 무기로 몸샷을 적중하면 잠시 동안 정밀 피해와 조준 보정이 증가합니다. 특성이 활성화된 동안 몸샷을 적중하면 지속 시간이 초기화됩니다.
S036,Earn bonus Enhancement Prisms when completing ritual activities.,의식 활동 완료 시 추가 강화 프리즘 획득
S037,Final blows with this weapon grant Super energy. This weapon gains bonus damage once your Super expires.,이 무기로 최후 일격 시 슈퍼 에너지를 얻습니다. 슈퍼가 끝나면 이 무기의 피해가 증가합니다.
S038,Rapidly defeat combatants or Guardians with Auto Rifle final blows.,자동 소총 최후 일격으로 전투원 또는 수호자를 빠르게 처치하세요.
S039,Summon your Throwing Hammer back to you.,던진 망치를 다시 불러오세요.
S040,Overflows the magazine based on the number of rapid final blows before reloading. Improves reload.,재장전 전 빠른 최후의 일격 수에 따라 탄창을 넘칩니다. 재장전 향상.
S041,+5 Class ▲,+5 클래스 ▲
S042,Prosperity (Vanguard),번영 (선봉)
S043,Increased damage against Taken enemies.,Taken 적에게 주는 피해 증가.
S044,Move faster while guarding with the Unbreakable shield. Damage blocked with Unbreakable is converted to grenade energy.,언브레이커블 방패로 방어 중 이동 속도 증가. 언브레이커블로 막은 피해는 수류탄 에너지로 전환됩니다.
S045,Healing grenades spawn a Restorative Turret. Healing allies occasionally spawns an Orb of Power.,치유 수류탄이 회복 포탑을 생성합니다. 아군을 치유하면 가끔 힘의 보주가 생성됩니다.
S046,Improved Drengr's Lash. Gain Woven Mail when suspending targets.,개선된 드렝그의 채찍. 대상을 공중에 띄우면 직조 갑옷 획득.
S047,"Equip this tier 5 weapon ornament to change the appearance of Burden of Guilt. Once you get an ornament, it's unlocked for all characters on your account.",이 5단계 무기 장식을 장착해 Burden of Guilt의 외형을 바꾸세요. 장식을 얻으면 계정 내 모든 캐릭터에서 해제됩니다.
S048,Heal yourself when using your class ability.  This modifier is only available during Solstice.,직업 능력 사용 시 자신을 치유합니다.  이 수정자는 솔스티스 기간에만 사용할 수 있습니다.
S049,Do you deserve it?,그럴 자격이 있나?
S050,"""He is the closest thing I will ever have to a son.""",그는 내가 가질 수 있는 아들에 가장 가까운 존재다.
S051,"""Under a sturdy enough helmet, no one can see how damaged you are."" —Reed-7, Exo Titan","""튼튼한 헬멧만 있으면, 아무도 네가 얼마나 망가졌는지 볼 수 없어."" —리드-7, 엑소 타이탄"
S052,"""I have foreseen the work that will bring this system together. I'll need your strength."" —Emperor Calus","""이 체계를 하나로 묶을 일을 나는 이미 내다보았다. 네 힘이 필요하다."" —칼루스 황제"
S053,"Do you believe in the Gaiaforms, the energies within planets?","행성 안의 에너지, 가이아폼을 믿나요?"
S054,"""Many regard the Hive as mere monsters. But they are so much more. Their minds are sharp, like their blades."" —Eris Morn","""많은 이들이 하이브를 그저 괴물로 여긴다. 하지만 그들은 훨씬 더 복잡하다. 그들의 정신은 그들의 칼날처럼 날카롭다."" —에리스 모른"
S055,"At the edge of the universe, I stared into the infinite deep. It stared back, and was pleased. I would become the herald of its victory, and bear witness for all creation.","우주의 끝에서, 나는 무한한 심연을 응시했다. 그것도 나를 응시했고, 만족해했다. 나는 그 승리의 전령이 되어, 모든 창조물의 증인이 되리라."
S056,"A little bolder. A little more focus. You are almost ready… to cast a Shadow. —Calus, Emperor of the Cabal","조금 더 대담하게. 조금 더 집중해서. 이제 거의 준비됐군… 그림자를 펼칠 준비가. —칼루스, 카발의 황제"
S057,"""We are what we survive. They will not be the Guardians."" —Lord Saladin","""우리는 살아남은 자다. 그들은 수호자가 되지 못할 것이다."" —로드 살라딘"
S058,"""There is a place where we can remember who we are."" —Imogen Rife","""우리가 누구인지 기억할 수 있는 곳이 있어."" —이모젠 라이프"
S059,"""There is an end to everything."" —Emissary of the Nine","""모든 것에는 끝이 있다."" —아홉의 사절"
S060,"""Yours, until the last flame dies and all words have been spoken."" —Shin Malphur to you, as you journey forth into the unknown","""마지막 불꽃이 꺼지고 모든 말이 다해질 때까지, 너의 것이다."" —신 말퍼가, 미지로 나아가는 당신에게"
S061,"""I know you."" —Lord Felwinter","""알고 있소."" —펠윈터 경"
S062,"""Some speculate that the radiolarian fluid is the last vestige of a biological life-form that became the Vex."" —Sister Faora, ""Theories on the Vex""","""방사충 유체는 벡스가 된 생명체의 마지막 흔적이라 추측하는 이들도 있다."" —자매 파오라, ""벡스에 대한 이론"""
S063,"""Have you ever stared into the green soulfire flame? There is terror, but also… something warm."" —Eris Morn","""초록 영혼불꽃을 바라본 적 있나? 공포가 있지만, 또… 무언가 따뜻한 것도 있지."" —에리스 모른"
S064,"""Osiris said that he started to pity the Red Legion, getting trapped in here for infinite eternities. I think they're getting exactly what they deserve."" —Sagira","""오시리스는 붉은 군단이 여기 갇혀 무한한 영겁을 보내는 걸 보며 연민을 느끼기 시작했다고 했어. 난 그들이 마땅한 걸 정확히 받고 있다고 생각해."" —사기라"
S065,"""I am lightning, energy unbound, but directed."" The Splicer felt the Arc energy crackling around him and joined with it.","""나는 번개다. 풀린 에너지지만, 방향을 가진."" 스플라이서는 주변에서 튀는 아크 에너지를 느끼고 그것과 하나가 되었다."
S066,"A TRESPASSER you are not welcome here HOW DID YOU FIND US? ""She sent me."" You are not your queen. A PUPPET defined by scars We have no need of you. WE HAVE OUR OWN PUPPETS L E T H E R S P E A K ""I came to discuss the future.""","침입자여, 여긴 네가 있을 곳이 아니다 어떻게 우리를 찾았지? ""그녀가 날 보냈다."" 넌 네 여왕이 아니다. 흉터로 정의된 꼭두각시 우린 네가 필요 없다. 우린 우리만의 꼭두각시가 있다 그녀에게 말하게 하라 ""미래를 논하러 왔다."""
S067,"Sometimes it makes a guy feel better to make fun of someone way worse off than he is. He knows it's a mistake soon as he sets eyes on the giant robot face, though. Maybe somewhere else. He turns and goes, ignoring the dramatic monologue already kicking off behind him.","가끔은 자기보다 훨씬 처지가 안 좋은 사람을 놀려야 기분이 나아지는 법이다. 하지만 거대한 로봇 얼굴을 보는 순간, 그게 실수라는 걸 바로 안다. 그래도 아마 다른 곳이었으면 몰랐겠지. 그는 몸을 돌려 떠나고, 뒤에서 이미 시작된 장황한 독백은 무시한다."
S068,this will not reach you anything a knife writes would never but no more speaking that time is over Im sorry I see the waves I see the ship sinking the sky is filled with shadow I love you I love you Im alone what hurts me is you are too,이건 당신에게 아무것도 닿지 않을 거야 칼이 쓰는 것은 결코 하지만 더는 말하지 마 그 시간은 끝났어 미안해 파도가 보여 배가 가라앉는 게 보여 하늘은 그림자로 가득해 사랑해 사랑해 나 혼자야 날 아프게 하는 건 너도 그렇다는 거야
S069,"Someone else finds him there. He sees himself out, mouth stinging as he takes the stairs. That's it, then. There's nothing for him here. And he was a fool to think there was. Time to go.",누군가 그를 거기서 발견한다. 그는 계단을 오르며 입이 얼얼한 채로 스스로 나간다. 그걸로 끝이다. 여긴 그에게 아무것도 없다. 그런 게 있을 거라 생각한 건 어리석었다. 갈 시간이다.
S070,"""Even in the dark, I still feel the spark of life within me."" His Gauntlet roared as he drew a wide circle in the air, and the rains began to fall.","""어둠 속에서도, 내 안의 생명의 불꽃은 아직 느껴진다."" 그의 건틀릿이 포효하자 그는 허공에 큰 원을 그렸고, 비가 내리기 시작했다."
S071,"[[Neuron-Sheath key] [Run through, Time and time again] [In Ritual] [In Ceremony] [In Vital Sequence] [Image//History] [Vision//Grace] [Sight//Clairvoyance] [War divinely conjured] [Canvassed data bits] [Symphonic calculation] [Magnitude manufactured] [Order Incomplete]]","[[뉴런-외피 열쇠] [반복해서, 또 반복해서] [의식 중] [의례 중] [생명 순서 중] [이미지//역사] [비전//은총] [시야//천리안] [신성히 소환된 전쟁] [수집된 데이터 비트] [교향적 계산] [조작된 규모] [질서 미완성]]"
S072,"""There is nothing here, and I have no fear of nothing."" The Splicer saw herself in a hundred places at once, then chose her favorite.","""여긴 아무것도 없어. 난 아무것도 두렵지 않아."" 스플라이서는 자신을 백 곳에서 동시에 본 뒤, 가장 마음에 드는 곳을 골랐다."
S073,Few weapons have withstood the test of time longer than the trusty SUROS Regime. This is Golden Age tech brought to life by the fastidious engineers at SUROS. Its smart-matter frame is prized among Guardians for both efficiency and rarity. Some things never fall out of fashion.,믿음직한 SUROS Regime만큼 오랜 세월을 견딘 무기는 드뭅니다. 이는 SUROS의 꼼꼼한 엔지니어들이 생명을 불어넣은 황금기 기술입니다. 그 스마트 물질 프레임은 효율성과 희소성 모두로 수호자들 사이에서 귀하게 여겨집니다. 어떤 것은 결코 유행에서 벗어나지 않습니다.
S074,we were young once YOU WENT MAD TRYING TO UNDERSTAND W E W E N T M A D T R Y I N G T O S P E A K This doesn't matter. when you are ready we will take it from you AND YOU WILL BE GLAD OF IT,우린 한때 젊었지 네가 미쳐버렸어 이해하려 애쓰다 우린 미쳐버렸어 말하려 애쓰다 이건 중요하지 않다. 준비되면 우리가 가져가겠다 그러면 넌 기뻐할 것이다
S075,"We treated the ship like its name, like one of the Guardians of old. But I swear to you that Sparrows have personalities, even spirits. I know that sounds crazy, but I believe that. AA's name was cold, and the Sparrow was cold. You couldn't warm it up. But boy it could fly.","우린 그 배를 이름처럼, 옛 수호자들 중 하나처럼 대했어. 하지만 참새들은 성격이 있고, 심지어 영혼도 있다고 맹세할 수 있어. 미친 소리처럼 들린다는 건 알아, 그래도 난 그렇게 믿어. AA의 이름은 차가웠고, 그 참새도 차가웠어. 아무리 해도 따뜻해지지 않았지. 하지만 정말 잘 날았어."
S076,"THE RED SHIPS ENTER THE AIR IS HEAVY. Now, when you move, you can actually FEEL the weight of the world. This weight is a gift. you finally have our attention","붉은 배들이 들어오고 공기는 무겁다. 이제 움직일 때, 세상의 무게를 실제로 느낄 수 있다. 이 무게는 축복이다. 마침내 네가 우리의 주목을 받았다"
S077,"""I am alight, but I will not be consumed."" The Splicer envisioned the fire in his hand, and he closed his fist around it.","""나는 불타고 있지만, 삼켜지지 않으리라."" 스플라이서는 손안의 불꽃을 떠올렸고, 그것을 쥔 채 주먹을 쥐었다."
S078,"You sought us out. IN SOME SMALL WAY, YOU FOUND US. But discovery always has a price. With curiosity comes consequence. S H E I S N O T R E A D Y SEEK JUDGMENT. GROW.","당신이 우릴 찾아냈다. 작은 방식으로나마, 우릴 발견했다. 하지만 발견에는 늘 대가가 따른다. 호기심에는 결과가 따른다. 그녀는 아직 준비되지 않았다. 심판을 구하라. 성장하라."
S079,"the edge of a system frays like string PATHS ARE CARVED BY MORE THAN RANGERS AND WAYFINDERS Out there in the remnants of old, the echo hums. W E H A D B E E N V I E W E D B E F O R E REMEMBER? DO YOU?","시스템의 끝자락은 실처럼 해진다 길은 레인저와 안내자만이 아닌 이들에 의해 새겨진다 저 너머, 옛것의 잔재 속에서 메아리가 웅웅거린다. 우리는 전에 보였었다 기억하나? 너는?"
S080,"Getting out in the woods could clear his head. Maybe he shouldn't go after all. Familiar energy readings. Not Darkness, not Light, but the in-between stuff. Sterile neutrinos. Makes him think of a time way back when: Moondust and him. And the arrival of the Pyramid fleet…","숲에 나가면 머리가 맑아질지도 몰라. 아예 가지 않는 게 나을지도. 익숙한 에너지 수치. 어둠도, 빛도 아닌 그 중간의 것. 무균 중성미자. 아주 오래전 일이 떠오른다. 문더스트와 그. 그리고 피라미드 함대의 도착…"
