sample_id,source_text,translation,sentence_type,relation_context
S027,Your equipped Scout Rifles and Pulse Rifles fire shield-piercing rounds and stun [Shield-Piercing] Barrier Champions.,장착한 정찰 소총과 펄스 소총이 방어막 관통 탄환을 발사하며 [방어막 관통] 장벽 챔피언을 기절시킵니다.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S028,"By aligning with the Festival Flame, you do more damage with Void power.","축제의 불꽃과 조율하면, 공허의 힘으로 더 큰 피해를 줍니다.",perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S029,Defeat combatants with precision final blows in Nightmare Hunts.,나이트메어 헌트에서 정밀한 최후의 일격으로 전투원을 처치하십시오.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S030,Adds a phosphene appearance to your transmat effects.,전송 효과에 인광성 외형을 추가합니다.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S031,Final blows with this weapon fill the magazine of the equipped Energy weapon from reserves.,이 무기로 최후의 일격을 가하면 장착 중인 에너지 무기의 탄창이 예비 탄약에서 채워집니다.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S032,Greatly increases charge rate and guard resistance.,충전 속도와 가드 저항을 크게 증가시킵니다.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S033,Faster ready and stow speed for Trace Rifles.,트레이스 라이플의 준비 및 보관 속도가 증가합니다.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S034,Dimensional Tithes,차원 십일조,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S035,Body shots landed with this weapon increase precision damage and aim assist for a short time. Body shots landed while the perk is active refresh the time.,이 무기로 적중한 몸통 사격은 짧은 시간 동안 정밀 피해와 조준 보정을 증가시킵니다. 특성이 활성화된 동안 적중한 몸통 사격은 지속 시간을 갱신합니다.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S036,Earn bonus Enhancement Prisms when completing ritual activities.,의식 활동을 완료하면 추가 강화 프리즘을 획득합니다.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S037,Final blows with this weapon grant Super energy. This weapon gains bonus damage once your Super expires.,이 무기로 최후의 일격을 가하면 슈퍼 에너지를 얻습니다. 이 무기는 슈퍼가 종료되면 추가 피해를 얻습니다.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S038,Rapidly defeat combatants or Guardians with Auto Rifle final blows.,오토 라이플로 전투원 또는 가디언에게 빠르게 최후의 일격을 가하세요.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S039,Summon your Throwing Hammer back to you.,던지는 망치를 다시 소환하세요.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S040,Overflows the magazine based on the number of rapid final blows before reloading. Improves reload.,재장전 전 빠른 최후 일격 횟수에 따라 탄창이 초과 충전됩니다. 재장전 속도가 향상됩니다.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S041,+5 Class ▲,클래스 +5 ▲,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S042,Prosperity (Vanguard),번영 (Vanguard),perk,- Caiatl allied_with Vanguard (confidence: high)\n- Savathun enemy_of Vanguard (confidence: high)\n- Dredgen Bael enemy_of Vanguard (confidence: high)\n- Mara Sov politically_cooperates_with Vanguard (confidence: medium)
S043,Increased damage against Taken enemies.,Taken 적에게 주는 피해 증가,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S044,Move faster while guarding with the Unbreakable shield. Damage blocked with Unbreakable is converted to grenade energy.,언브레이커블 방패로 방어하는 동안 더 빠르게 이동합니다. 언브레이커블로 막은 피해는 수류탄 에너지로 전환됩니다.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S045,Healing grenades spawn a Restorative Turret. Healing allies occasionally spawns an Orb of Power.,치유 수류탄이 회복 포탑을 생성합니다. 아군을 치유하면 가끔 힘의 구슬이 생성됩니다.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S046,Improved Drengr's Lash. Gain Woven Mail when suspending targets.,드렝그의 채찍이 강화됩니다. 대상을 공중에 띄우면 직조된 갑옷을 획득합니다.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S047,"Equip this tier 5 weapon ornament to change the appearance of Burden of Guilt. Once you get an ornament, it's unlocked for all characters on your account.",5단계 무기 장식을 장착하여 Burden of Guilt의 외형을 변경하세요. 장식을 획득하면 계정 내 모든 캐릭터에서 해제됩니다.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S048,Heal yourself when using your class ability.  This modifier is only available during Solstice.,직업 능력을 사용할 때 자신을 치유합니다.  이 수정자는 솔스티스 기간에만 사용할 수 있습니다.,perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S049,Do you deserve it?,그럴 자격이 있으신가요?,dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S050,"""He is the closest thing I will ever have to a son.""",그는 내가 평생 아들처럼 여길 수 있는 가장 가까운 존재입니다.,dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S051,"""Under a sturdy enough helmet, no one can see how damaged you are."" —Reed-7, Exo Titan","""튼튼한 헬멧만 쓰고 있으면, 아무도 당신이 얼마나 다쳤는지 볼 수 없죠."" —리드-7, 엑소 타이탄",dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S052,"""I have foreseen the work that will bring this system together. I'll need your strength."" —Emperor Calus","""이 체계를 하나로 묶을 일을 저는 이미 내다보았습니다. 당신의 힘이 필요합니다."" —칼루스 황제",dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S053,"Do you believe in the Gaiaforms, the energies within planets?","가이아폼, 즉 행성 안에 깃든 에너지를 믿으십니까?",dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S054,"""Many regard the Hive as mere monsters. But they are so much more. Their minds are sharp, like their blades."" —Eris Morn","""많은 이들이 하이브를 그저 괴물로만 여깁니다. 하지만 그들은 그보다 훨씬 더한 존재입니다. 그들의 정신은 그들의 칼날처럼 날카롭습니다."" —에리스 모른",dialogue,- Eris Morn romantic_partner_of The Drifter (confidence: high)\n- The Drifter emotional_anchor_of Eris Morn (confidence: high)\n- Lodi cooperates_with Eris Morn (confidence: medium)
S055,"At the edge of the universe, I stared into the infinite deep. It stared back, and was pleased. I would become the herald of its victory, and bear witness for all creation.","우주의 끝에서, 저는 무한한 심연을 응시했습니다. 심연도 저를 응시했고, 만족해했습니다. 저는 그 승리의 전령이 되어, 모든 창조물 앞에서 그 증인이 될 것입니다.",dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S056,"A little bolder. A little more focus. You are almost ready… to cast a Shadow. —Calus, Emperor of the Cabal","조금 더 대담하게. 조금 더 집중해서. 이제 거의 준비가 되었습니다… 그림자를 드리울 준비가. —칼루스, 카발의 황제",dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S057,"""We are what we survive. They will not be the Guardians."" —Lord Saladin","""우리는 살아남은 존재입니다. 그들은 수호자가 되지 못할 것입니다."" —로드 살라딘",dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S058,"""There is a place where we can remember who we are."" —Imogen Rife","""우리가 누구인지 기억할 수 있는 곳이 있습니다."" —이모젠 라이프",dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S059,"""There is an end to everything."" —Emissary of the Nine","""모든 것에는 끝이 있습니다."" —나인의 사절",dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S060,"""Yours, until the last flame dies and all words have been spoken."" —Shin Malphur to you, as you journey forth into the unknown","""마지막 불꽃이 꺼지고 모든 말이 다해질 때까지, 당신의 것입니다."" — 신 말퍼가, 당신이 미지로 나아갈 때 당신에게",dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S061,"""I know you."" —Lord Felwinter","""당신을 압니다."" —펠윈터 경",dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S062,"""Some speculate that the radiolarian fluid is the last vestige of a biological life-form that became the Vex."" —Sister Faora, ""Theories on the Vex""","""방사형 유체는 벡스가 된 생명체의 마지막 흔적이라고 추측하는 이들도 있습니다."" —시스터 파오라, ""벡스에 대한 이론""",dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S063,"""Have you ever stared into the green soulfire flame? There is terror, but also… something warm."" —Eris Morn","""초록빛 영혼불꽃을 바라본 적 있으신가요? 공포가 있지만, 또… 무언가 따뜻한 것도 있습니다."" —에리스 모른",dialogue,- Eris Morn romantic_partner_of The Drifter (confidence: high)\n- The Drifter emotional_anchor_of Eris Morn (confidence: high)\n- Lodi cooperates_with Eris Morn (confidence: medium)
S064,"""Osiris said that he started to pity the Red Legion, getting trapped in here for infinite eternities. I think they're getting exactly what they deserve."" —Sagira","""오시리스는 레드 군단이 여기 갇혀 무한한 영겁을 보내게 된 걸 보고 연민을 느끼기 시작했다고 했어요. 제 생각엔, 그들은 마땅한 대가를 치르고 있는 거예요."" —사기라",dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S065,"""I am lightning, energy unbound, but directed."" The Splicer felt the Arc energy crackling around him and joined with it.","""나는 번개다. 속박되지 않은 에너지, 그러나 방향을 가진 에너지다."" 스플라이서는 자신을 감도는 아크 에너지의 파직거림을 느끼고, 그것과 하나가 되었다.",lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S066,"A TRESPASSER you are not welcome here HOW DID YOU FIND US? ""She sent me."" You are not your queen. A PUPPET defined by scars We have no need of you. WE HAVE OUR OWN PUPPETS L E T H E R S P E A K ""I came to discuss the future.""","침입자여, 당신은 이곳에 환영받지 못합니다. 어떻게 우리를 찾아냈습니까? ""그녀가 저를 보냈습니다."" 당신은 당신의 여왕이 아닙니다. 흉터로 규정된 꼭두각시. 우리는 당신이 필요 없습니다. 우리에겐 우리만의 꼭두각시가 있습니다. 그녀가 말하게 두십시오. ""저는 미래를 논의하러 왔습니다.""",lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S067,"Sometimes it makes a guy feel better to make fun of someone way worse off than he is. He knows it's a mistake soon as he sets eyes on the giant robot face, though. Maybe somewhere else. He turns and goes, ignoring the dramatic monologue already kicking off behind him.","가끔은 자기보다 훨씬 처지가 나쁜 누군가를 놀려야 기분이 나아지는 법입니다. 하지만 거대한 로봇 얼굴을 보는 순간, 그게 실수라는 걸 바로 깨닫습니다. 아마 다른 곳에서나 그러겠지요. 그는 몸을 돌려 떠나고, 뒤에서 이미 시작된 장황한 독백은 무시합니다.",lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S068,this will not reach you anything a knife writes would never but no more speaking that time is over Im sorry I see the waves I see the ship sinking the sky is filled with shadow I love you I love you Im alone what hurts me is you are too,이것은 당신에게 아무것도 닿지 않을 것입니다 칼이 쓰는 것은 결코 그럴 수 없으니까요 하지만 더는 말하지 않겠습니다 그 시간은 끝났습니다 죄송합니다 파도가 보입니다 배가 가라앉는 것이 보입니다 하늘은 그림자로 가득합니다 사랑합니다 사랑합니다 저는 혼자입니다 저를 아프게 하는 것은 당신도 그렇다는 것입니다,lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S069,"Someone else finds him there. He sees himself out, mouth stinging as he takes the stairs. That's it, then. There's nothing for him here. And he was a fool to think there was. Time to go.",누군가가 그를 그곳에서 발견합니다. 그는 입안이 얼얼한 채 계단을 올라 스스로 자리를 뜹니다. 이제 끝입니다. 그를 위한 것은 이곳에 아무것도 없습니다. 그리고 그런 것이 있을 거라 생각한 자신이 어리석었습니다. 떠날 시간입니다.,lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S070,"""Even in the dark, I still feel the spark of life within me."" His Gauntlet roared as he drew a wide circle in the air, and the rains began to fall.","""어둠 속에서도, 내 안의 생명의 불꽃은 아직 느껴진다."" 그의 건틀릿이 포효했고, 그가 허공에 큰 원을 그리자 비가 내리기 시작했다.",lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S071,"[[Neuron-Sheath key] [Run through, Time and time again] [In Ritual] [In Ceremony] [In Vital Sequence] [Image//History] [Vision//Grace] [Sight//Clairvoyance] [War divinely conjured] [Canvassed data bits] [Symphonic calculation] [Magnitude manufactured] [Order Incomplete]]",[[뉴런-시스 키] [거듭해서 달려 나가며] [의식 중] [의례 중] [생명적 연쇄 중] [이미지//역사] [비전//은총] [시야//천리안] [신성하게 소환된 전쟁] [수집된 데이터 비트] [교향적 계산] [제조된 규모] [불완전한 질서]],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S072,"""There is nothing here, and I have no fear of nothing."" The Splicer saw herself in a hundred places at once, then chose her favorite.","""여기엔 아무것도 없고, 나는 아무것도 두렵지 않다."" 스플라이서는 자신을 백 곳에서 동시에 본 뒤, 가장 마음에 드는 모습을 골랐다.",lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S073,Few weapons have withstood the test of time longer than the trusty SUROS Regime. This is Golden Age tech brought to life by the fastidious engineers at SUROS. Its smart-matter frame is prized among Guardians for both efficiency and rarity. Some things never fall out of fashion.,오랜 세월의 시험을 이겨낸 무기는 믿음직한 SUROS Regime보다 많지 않습니다. 이는 SUROS의 꼼꼼한 기술자들이 생명을 불어넣은 황금기 기술입니다. 그 스마트-매터 프레임은 효율성과 희소성 모두로 인해 가디언들 사이에서 높은 가치를 지닙니다. 어떤 것들은 결코 유행에서 벗어나지 않습니다.,lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S074,we were young once YOU WENT MAD TRYING TO UNDERSTAND W E W E N T M A D T R Y I N G T O S P E A K This doesn't matter. when you are ready we will take it from you AND YOU WILL BE GLAD OF IT,"우리는 한때 젊었습니다 당신은 이해하려 애쓰다 미쳐버렸습니다 우리는 말하려 애쓰다 미쳐버렸습니다 이건 중요하지 않습니다. 준비가 되면, 우리가 그것을 당신에게서 가져가겠습니다. 그리고 당신은 그걸 기뻐하게 될 것입니다",lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S075,"We treated the ship like its name, like one of the Guardians of old. But I swear to you that Sparrows have personalities, even spirits. I know that sounds crazy, but I believe that. AA's name was cold, and the Sparrow was cold. You couldn't warm it up. But boy it could fly.","우리는 그 함선을 그 이름처럼, 옛 수호자들 중 하나처럼 대했습니다. 하지만 저는 스패로우에도 성격이 있고, 심지어 영혼까지 있다고 맹세할 수 있습니다. 미친 소리처럼 들린다는 건 알지만, 저는 그렇게 믿습니다. AA의 이름은 차가웠고, 스패로우도 차가웠습니다. 아무리 해도 따뜻해지지 않았죠. 하지만 정말, 그 비행만큼은 대단했습니다.",lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S076,"THE RED SHIPS ENTER THE AIR IS HEAVY. Now, when you move, you can actually FEEL the weight of the world. This weight is a gift. you finally have our attention","붉은 함선들이 진입합니다. 공기는 무겁습니다. 이제 움직일 때, 세계의 무게를 실제로 느낄 수 있습니다. 이 무게는 선물입니다. 마침내 당신은 우리의 주의를 끌었습니다.",lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S077,"""I am alight, but I will not be consumed."" The Splicer envisioned the fire in his hand, and he closed his fist around it.","""나는 불타고 있지만, 삼켜지지는 않겠다."" 스플라이서는 손안의 불꽃을 떠올렸고, 그것을 움켜쥐었다.",lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S078,"You sought us out. IN SOME SMALL WAY, YOU FOUND US. But discovery always has a price. With curiosity comes consequence. S H E I S N O T R E A D Y SEEK JUDGMENT. GROW.","당신은 우리를 찾아냈습니다. 아주 작은 방식으로, 당신은 우리를 발견했습니다. 그러나 발견에는 언제나 대가가 따릅니다. 호기심에는 그에 따른 결과가 따릅니다. 그녀는 아직 준비되지 않았습니다. 심판을 구하십시오. 성장하십시오.",lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S079,"the edge of a system frays like string PATHS ARE CARVED BY MORE THAN RANGERS AND WAYFINDERS Out there in the remnants of old, the echo hums. W E H A D B E E N V I E W E D B E F O R E REMEMBER? DO YOU?","시스템의 끝자락은 실처럼 해어집니다 길은 레인저와 웨이파인더만이 아니라 그 너머의 존재들에 의해 새겨집니다 저 너머, 옛것의 잔재 속에서 메아리가 웅웅거립니다 우리는 전에 관측된 적이 있었습니다 기억하십니까? 당신은 기억하십니까?",lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S080,"Getting out in the woods could clear his head. Maybe he shouldn't go after all. Familiar energy readings. Not Darkness, not Light, but the in-between stuff. Sterile neutrinos. Makes him think of a time way back when: Moondust and him. And the arrival of the Pyramid fleet…","숲으로 나가면 머리가 좀 맑아질지도 모릅니다. 어쩌면 아예 가지 않는 편이 나을지도 모르겠군요. 익숙한 에너지 수치입니다. 어둠도, 빛도 아닌 그 중간의 것. 무균 중성미자. 아주 오래전의 한때를 떠올리게 합니다. 문더스트와 그, 그리고 피라미드 함대의 도착…",lore,- No explicit relation context found. Use neutral default tone for this sentence type.
