sample_id,source_text,translation,sentence_type,relation_context_external
S063,"""Have you ever stared into the green soulfire flame? There is terror, but also… something warm."" —Eris Morn","초록빛 소울파이어의 불꽃을 바라본 적 있어? 공포가 있지만, 또… 무언가 따뜻한 것도 있어. —에리스 모른",dialogue,- Eris Morn romantic_partner_of The Drifter (confidence: high)\n- The Drifter emotional_anchor_of Eris Morn (confidence: high)\n- Lodi cooperates_with Eris Morn (confidence: medium)
S064,"""Osiris said that he started to pity the Red Legion, getting trapped in here for infinite eternities. I think they're getting exactly what they deserve."" —Sagira","""오시리스는 레드 리전이 여기 갇혀 무한한 영겁을 보내고 있다며, 그들을 불쌍히 여기기 시작했다고 했어. 난 그들이 마땅히 받아야 할 걸 정확히 받고 있다고 생각해."" —사기라",dialogue,- No external relation context found. Use default sentence-type style.
S065,"""I am lightning, energy unbound, but directed."" The Splicer felt the Arc energy crackling around him and joined with it.","""나는 번개다. 속박되지 않은 energy, 그러나 방향을 가진."" 스플라이서는 자신을 감싸며 튀는 Arc energy를 느끼고, 그것과 하나가 되었다.",lore,- No external relation context found. Use default sentence-type style.
S066,"A TRESPASSER you are not welcome here HOW DID YOU FIND US? ""She sent me."" You are not your queen. A PUPPET defined by scars We have no need of you. WE HAVE OUR OWN PUPPETS L E T H E R S P E A K ""I came to discuss the future.""","침입자여, 넌 여기 환영받지 못한다. 어떻게 우리를 찾아냈지? ""그녀가 날 보냈다."" 넌 네 여왕이 아니야. 흉터로 규정된 꼭두각시. 우린 네가 필요 없다. 우린 우리만의 꼭두각시가 있다. 그녀가 말하게 둬. ""미래를 논의하러 왔다.""",lore,- No external relation context found. Use default sentence-type style.
S067,"Sometimes it makes a guy feel better to make fun of someone way worse off than he is. He knows it's a mistake soon as he sets eyes on the giant robot face, though. Maybe somewhere else. He turns and goes, ignoring the dramatic monologue already kicking off behind him.","가끔은 자기보다 훨씬 처참한 처지의 누군가를 놀려야 기분이 나아지는 법이지. 하지만 거대한 로봇 얼굴을 보는 순간, 그게 실수라는 걸 바로 알아차린다. 그래도 아마 다른 데서나 그랬어야 했겠지. 그는 몸을 돌려 떠나고, 뒤에서 이미 시작된 장황한 독백은 무시한다.",lore,- No external relation context found. Use default sentence-type style.
S068,this will not reach you anything a knife writes would never but no more speaking that time is over Im sorry I see the waves I see the ship sinking the sky is filled with shadow I love you I love you Im alone what hurts me is you are too,이건 너에게 아무것도 닿지 않을 거야 칼이 쓰는 것은 결코 그럴 수 없어 하지만 더는 말하지 마 그 시간은 끝났어 미안해 나는 파도를 봐 나는 배가 가라앉는 걸 봐 하늘은 그림자로 가득 차 있어 사랑해 사랑해 나는 혼자야 나를 아프게 하는 건 너도 그렇다는 거야,lore,- No external relation context found. Use default sentence-type style.
S069,"Someone else finds him there. He sees himself out, mouth stinging as he takes the stairs. That's it, then. There's nothing for him here. And he was a fool to think there was. Time to go.",누군가 그를 그곳에서 발견한다. 그는 입가가 얼얼한 채 계단을 올라가며 스스로 물러난다. 그걸로 끝이다. 여긴 그를 위한 게 아무것도 없다. 애초에 있을 거라 생각한 것부터가 어리석었다. 이제 갈 시간이다.,lore,- No external relation context found. Use default sentence-type style.
S070,"""Even in the dark, I still feel the spark of life within me."" His Gauntlet roared as he drew a wide circle in the air, and the rains began to fall.","어둠 속에서도, 내 안의 생명의 불꽃은 아직 느껴진다. 그의 건틀릿이 포효했고, 그는 허공에 큰 원을 그었으며, 비가 내리기 시작했다.",lore,- No external relation context found. Use default sentence-type style.
S071,"[[Neuron-Sheath key] [Run through, Time and time again] [In Ritual] [In Ceremony] [In Vital Sequence] [Image//History] [Vision//Grace] [Sight//Clairvoyance] [War divinely conjured] [Canvassed data bits] [Symphonic calculation] [Magnitude manufactured] [Order Incomplete]]","[[뉴런-쉬스 키] [달려가라, 몇 번이고] [의식 중] [의례 중] [생명 순서 중] [이미지//역사] [비전//은총] [시야//천리안] [신성하게 소환된 전쟁] [수집된 데이터 비트] [교향적 계산] [제조된 규모] [질서 미완성]]",lore,- No external relation context found. Use default sentence-type style.
S072,"""There is nothing here, and I have no fear of nothing."" The Splicer saw herself in a hundred places at once, then chose her favorite.","""여기엔 아무것도 없어. 그리고 난 아무것도 두렵지 않아."" 스플라이서는 자신을 백 곳에서 동시에 본 뒤, 가장 마음에 드는 모습을 골랐다.",lore,- No external relation context found. Use default sentence-type style.
S073,Few weapons have withstood the test of time longer than the trusty SUROS Regime. This is Golden Age tech brought to life by the fastidious engineers at SUROS. Its smart-matter frame is prized among Guardians for both efficiency and rarity. Some things never fall out of fashion.,오랜 세월의 시험을 이겨낸 무기는 믿음직한 SUROS Regime보다도 드물다. 이것은 SUROS의 꼼꼼한 엔지니어들이 생명을 불어넣은 황금기 기술이다. 그 스마트-매터 프레임은 효율성과 희소성 모두로 Guardians 사이에서 귀하게 여겨진다. 어떤 것들은 결코 유행에서 벗어나지 않는다.,lore,- No external relation context found. Use default sentence-type style.
S074,we were young once YOU WENT MAD TRYING TO UNDERSTAND W E W E N T M A D T R Y I N G T O S P E A K This doesn't matter. when you are ready we will take it from you AND YOU WILL BE GLAD OF IT,"우린 한때 젊었지. 넌 이해하려고 미쳐버렸어. 우린 말하려고 미쳐버렸지. 이건 중요하지 않아. 네가 준비되면, 우리가 그것을 너에게서 가져가겠다. 그리고 넌 그걸 기뻐하게 될 거야.",lore,- No external relation context found. Use default sentence-type style.
S075,"We treated the ship like its name, like one of the Guardians of old. But I swear to you that Sparrows have personalities, even spirits. I know that sounds crazy, but I believe that. AA's name was cold, and the Sparrow was cold. You couldn't warm it up. But boy it could fly.","우린 그 함선을 이름 그대로, 옛 Guardians 중 하나처럼 대했어. 하지만 Sparrow에도 성격이 있고, 심지어 영혼까지 있다고 맹세할 수 있어. 미친 소리처럼 들리겠지만, 난 그렇게 믿어. AA라는 이름은 차가웠고, 그 Sparrow도 차가웠지. 아무리 해도 따뜻해지지 않았어. 그래도, 정말 잘 날았어.",lore,- No external relation context found. Use default sentence-type style.
S076,"THE RED SHIPS ENTER THE AIR IS HEAVY. Now, when you move, you can actually FEEL the weight of the world. This weight is a gift. you finally have our attention","붉은 함선들이 들어오고, 공기는 무겁다. 이제 네가 움직일 때, 세상의 무게를 실제로 느낄 수 있어. 이 무게는 축복이야. 드디어 네가 우리의 주목을 받았어",lore,- No external relation context found. Use default sentence-type style.
S077,"""I am alight, but I will not be consumed."" The Splicer envisioned the fire in his hand, and he closed his fist around it.","""나는 타오르고 있지만, 삼켜지지는 않겠다."" 스플라이서는 손안의 불꽃을 떠올렸고, 그것을 움켜쥐었다.",lore,- No external relation context found. Use default sentence-type style.
S078,"You sought us out. IN SOME SMALL WAY, YOU FOUND US. But discovery always has a price. With curiosity comes consequence. S H E I S N O T R E A D Y SEEK JUDGMENT. GROW.","네가 우릴 찾아왔지. 아주 작은 방식으로든, 넌 우릴 찾아낸 거야. 하지만 발견에는 언제나 대가가 따른다. 호기심에는 그에 따른 결과가 뒤따르지. 그녀는 아직 준비되지 않았다. 심판을 구하라. 성장하라.",lore,- No external relation context found. Use default sentence-type style.
S079,"the edge of a system frays like string PATHS ARE CARVED BY MORE THAN RANGERS AND WAYFINDERS Out there in the remnants of old, the echo hums. W E H A D B E E N V I E W E D B E F O R E REMEMBER? DO YOU?","시스템의 끝자락은 실처럼 해진다 길은 레인저와 웨이파인더만이 새기는 게 아니다 저 오래된 잔해 속에서, 메아리가 웅웅거린다 우린 전에 비춰진 적이 있었다 기억해? 너는?",lore,- No external relation context found. Use default sentence-type style.
S080,"Getting out in the woods could clear his head. Maybe he shouldn't go after all. Familiar energy readings. Not Darkness, not Light, but the in-between stuff. Sterile neutrinos. Makes him think of a time way back when: Moondust and him. And the arrival of the Pyramid fleet…","숲으로 나가면 머리가 좀 맑아질지도 몰라. 어쩌면 아예 가지 않는 게 나을지도 모르지. 익숙한 energy readings. Darkness도 Light도 아닌, 그 중간의 것들. sterile neutrinos. 문득 아주 오래전이 떠오른다. Moondust와 그. 그리고 Pyramid 함대의 도착…",lore,- No external relation context found. Use default sentence-type style.
